tpgGen,envGen,gamesPlayed,frames,envName,tpgMin,tpgMax,tpgAvg,envFit,championSize,totalTeams,totalRootTeams,champUid
0,1,1,500,Boxing-v0,-64.0,8.0,-12.364,0.9645528120713264,6,750,750,255
0,1,2,500,BankHeist-v0,0.0,20.0,0.9466666666666667,0.06518518518518511,6,750,750,21
0,1,3,500,Centipede-v0,0.0,5139.0,695.6293333333333,0.28662247796413876,6,750,750,406
0,1,4,500,Bowling-v0,0.0,3.0,0.20933333333333334,0.06255144032921806,6,750,750,17
0,1,5,500,Asteroids-v0,0.0,780.0,107.73333333333333,0.30344636813012943,6,750,750,202
0,1,6,500,Alien-v0,0.0,250.0,64.30666666666667,0.47571057777777703,6,750,750,133
0,1,7,500,BattleZone-v0,0.0,5000.0,225.33333333333334,0.09429333333333345,6,750,750,462
0,1,8,500,Atlantis-v0,300.0,7500.0,1669.8666666666666,0.42702789208961645,6,750,750,56
0,1,9,500,ChopperCommand-v0,0.0,1200.0,198.4,0.34350617283950674,6,750,750,744
1,1,10,500,Bowling-v0,0.0,6.0,0.38871951219512196,0.1138211382113819,11,751,656,903
1,1,11,500,ChopperCommand-v0,0.0,1200.0,216.0060975609756,0.37148072869617677,6,751,656,744
1,1,12,500,Centipede-v0,0.0,5139.0,664.4009146341464,0.27837874835677323,6,751,656,406
1,1,13,500,BattleZone-v0,0.0,5000.0,274.390243902439,0.10840108401084023,6,751,656,462
1,1,14,500,Atlantis-v0,300.0,7500.0,1630.3353658536585,0.41925488892234564,6,751,656,56
1,1,15,500,Asteroids-v0,0.0,1010.0,115.1829268292683,0.25087077652464523,6,751,656,1046
1,1,16,500,Alien-v0,0.0,260.0,64.6798780487805,0.4623322268725674,6,751,656,920
1,1,17,500,BankHeist-v0,0.0,30.0,1.5701219512195121,0.09229147847034033,6,751,656,862
1,1,18,500,Boxing-v0,-64.0,8.0,-9.911585365853659,0.9726655291244255,6,751,656,255
2,1,19,500,Atlantis-v0,300.0,7500.0,1632.0754716981132,0.42062120937615943,6,751,636,56
2,1,20,500,Alien-v0,0.0,310.0,61.698113207547166,0.3940514444902588,6,751,636,1415
2,1,21,500,Bowling-v0,0.0,6.0,0.6635220125786163,0.19411444987964857,11,751,636,903
2,1,22,500,Centipede-v0,0.0,5139.0,687.3490566037735,0.2883587829378488,6,751,636,406
2,1,23,500,BattleZone-v0,0.0,6000.0,254.71698113207546,0.0768693221523411,5,751,636,1186
2,1,24,500,ChopperCommand-v0,0.0,1200.0,217.61006289308176,0.3754561689572179,6,751,636,744
2,1,25,500,Asteroids-v0,0.0,1010.0,121.98113207547169,0.26502793501219424,6,751,636,1046
2,1,26,500,Boxing-v0,-63.0,8.0,-9.124213836477987,0.9731131347686912,6,751,636,255
2,1,27,500,BankHeist-v0,0.0,30.0,1.6666666666666667,0.0947278515412688,6,751,636,862
3,1,28,500,BankHeist-v0,0.0,30.0,2.313664596273292,0.12621731462311175,6,751,644,862
3,1,29,500,Boxing-v0,-55.0,8.0,-8.990683229813664,0.9717623521560531,6,751,644,255
3,1,30,500,Alien-v0,0.0,310.0,67.32919254658385,0.43206086367648433,6,751,644,1415
3,1,31,500,Atlantis-v0,300.0,7500.0,1604.8136645962734,0.41563839259088875,6,751,644,56
3,1,32,500,ChopperCommand-v0,0.0,1200.0,237.4223602484472,0.4108772333410029,6,751,644,744
3,1,33,500,BattleZone-v0,0.0,6000.0,287.2670807453416,0.08941032129437942,5,751,644,1186
3,1,34,500,Bowling-v0,0.0,6.0,1.09472049689441,0.32022084195997147,11,751,644,903
3,1,35,500,Asteroids-v0,0.0,1010.0,119.03726708074534,0.2573587658255394,6,751,644,1046
3,1,36,500,Centipede-v0,0.0,5200.0,682.8090062111801,0.2787924764477444,6,751,644,1514
4,1,37,500,Bowling-v0,0.0,9.0,1.7577741407528642,0.39797134832596043,19,751,611,1871
4,1,38,500,Alien-v0,0.0,310.0,56.219312602291325,0.3722572583909429,6,751,611,1415
4,1,39,500,Centipede-v0,0.0,5200.0,573.9378068739771,0.23695625648988414,6,751,611,1514
4,1,40,500,ChopperCommand-v0,0.0,1200.0,280.3600654664484,0.4837445192055125,6,751,611,744
4,1,41,500,BattleZone-v0,0.0,6000.0,227.4959083469722,0.06401163847972362,5,751,611,1186
4,1,42,500,Atlantis-v0,600.0,7500.0,1612.7659574468084,0.3409957220840843,6,751,611,56
4,1,43,500,Asteroids-v0,0.0,1010.0,114.54991816693945,0.24890028663542696,6,751,611,1046
4,1,44,500,BankHeist-v0,0.0,30.0,2.3076923076923075,0.12398213816653526,6,751,611,862
4,1,45,500,Boxing-v0,-55.0,8.0,-11.090016366612112,0.9677235344239705,6,751,611,255
5,2,46,500,Asteroids-v0,0.0,1180.0,111.96399345335516,0.2126994022939798,15,751,611,2349
5,2,47,500,BattleZone-v0,0.0,6000.0,202.94599018003274,0.05221151320442101,5,751,611,1186
5,2,48,500,Gravitar-v0,0.0,250.0,5.400981996726678,0.021298417894162577,6,751,611,744
5,2,49,500,Atlantis-v0,600.0,7500.0,1616.039279869067,0.3433339295731852,6,751,611,56
