tpgGen,envGen,gamesPlayed,frames,envName,tpgMin,tpgMax,tpgAvg,envFit,championSize,totalTeams,totalRootTeams,champUid
0,1,1,500,Boxing-v0,-65.0,12.0,-12.462666666666667,0.9606134817563378,6,750,750,175
0,1,2,500,FishingDerby-v0,-24.0,-6.0,-18.488,0.6165889346136225,6,750,750,78
0,1,3,500,BankHeist-v0,0.0,20.0,0.96,0.06755555555555548,6,750,750,75
0,1,4,500,Asteroids-v0,0.0,1080.0,112.6,0.23435512879134246,6,750,750,692
0,1,5,500,Bowling-v0,0.0,26.0,0.20133333333333334,0.016683760683760675,6,750,750,530
0,1,6,500,Hero-v0,0.0,2770.0,29.606666666666666,0.01008721121909095,6,750,750,133
0,1,7,500,DoubleDunk-v0,-6.0,2.0,-0.8346666666666667,0.9462222222222273,6,750,750,190
0,1,8,500,Frostbite-v0,0.0,120.0,17.746666666666666,0.22181069958847713,6,750,750,651
0,1,9,500,Centipede-v0,0.0,3727.0,693.468,0.35846345093067394,6,750,750,198
0,1,10,500,BattleZone-v0,0.0,6000.0,238.66666666666666,0.0798024691358026,6,750,750,319
0,1,11,500,Freeway-v0,0.0,6.0,0.25333333333333335,0.06044444444444442,6,750,750,130
0,1,12,500,Atlantis-v0,300.0,6400.0,1666.0,0.4894865776822302,6,750,750,453
0,1,13,500,Alien-v0,0.0,320.0,66.58666666666667,0.4160277777777793,6,750,750,610
0,1,14,500,Gravitar-v0,0.0,250.0,5.666666666666667,0.022992592592592596,6,750,750,2
0,1,15,500,ChopperCommand-v0,0.0,800.0,194.4,0.44244444444444353,6,750,750,82
1,1,16,500,Freeway-v0,0.0,6.0,0.3930722891566265,0.09445188160047588,6,751,664,130
1,1,17,500,Gravitar-v0,0.0,250.0,6.475903614457831,0.024953145917001346,6,751,664,2
1,1,18,500,Bowling-v0,0.0,26.0,0.24096385542168675,0.020175376060454827,6,751,664,530
1,1,19,500,Centipede-v0,0.0,3727.0,742.7861445783133,0.383473975505904,6,751,664,198
1,1,20,500,DoubleDunk-v0,-8.0,2.0,-0.4367469879518072,0.9835073627844758,6,751,664,190
1,1,21,500,ChopperCommand-v0,0.0,800.0,187.1987951807229,0.4285056894243629,6,751,664,82
1,1,22,500,Hero-v0,0.0,2770.0,37.59036144578313,0.012599953001368909,6,751,664,133
1,1,23,500,Frostbite-v0,0.0,140.0,18.38855421686747,0.2154468212988008,6,751,664,839
1,1,24,500,BankHeist-v0,0.0,30.0,1.25,0.07214041350587541,11,751,664,937
1,1,25,500,BattleZone-v0,0.0,6000.0,313.2530120481928,0.10084783578759497,6,751,664,319
1,1,26,500,Alien-v0,0.0,320.0,70.03012048192771,0.4322707496653291,6,751,664,610
1,1,27,500,Atlantis-v0,300.0,7700.0,1666.7168674698796,0.4171680635373269,6,751,664,986
1,1,28,500,FishingDerby-v0,-24.0,-6.0,-18.26355421686747,0.6343398284495978,6,751,664,78
1,1,29,500,Asteroids-v0,0.0,1080.0,112.04819277108433,0.2363349144176155,6,751,664,692
1,1,30,500,Boxing-v0,-63.0,12.0,-10.774096385542169,0.9715096236799049,6,751,664,175
2,1,31,500,BattleZone-v0,0.0,6000.0,324.15902140672785,0.1042020613886059,6,751,654,319
2,1,32,500,Hero-v0,0.0,2770.0,50.206422018348626,0.01715628564848045,6,751,654,133
2,1,33,500,Frostbite-v0,0.0,140.0,19.23547400611621,0.2249266679148725,6,751,654,839
2,1,34,500,Alien-v0,0.0,320.0,72.67584097859327,0.4430454680598035,6,751,654,610
