tpgGen,envGen,trainFrames,teamId,scoreAlien-v0,scoreAsteroids-v0,scoreAtlantis-v0,scoreBankHeist-v0,scoreBattleZone-v0,scoreBowling-v0,scoreBoxing-v0,scoreCentipede-v0,scoreChopperCommand-v0,visAlien-v0,visAsteroids-v0,visAtlantis-v0,visBankHeist-v0,visBattleZone-v0,visBowling-v0,visBoxing-v0,visCentipede-v0,visChopperCommand-v0,visTotal
60,12,1000,16526,42.333333333333336,124.33333333333333,2270.0,1.3333333333333333,4133.333333333333,0.0,-38.266666666666666,8317.266666666666,373.3333333333333,0.0010714285714285715,0.0010714285714285715,0.0010714285714285715,0.0009,0.0010714285714285715,0.0010714285714285715,0.0010714285714285715,0.0009,0.0010714285714285715,0.0019642857142857144
60,12,1000,17252,148.66666666666666,551.0,1500.0,2.0,2300.0,0.0,-35.2,3115.0666666666666,500.0,0.002113095238095238,0.023333333333333334,0.0027678571428571427,0.00265,0.009583333333333333,0.0019940476190476192,0.002172619047619048,0.004225,0.002232142857142857,0.0275
60,12,1000,15422,2.0,152.0,1520.0,0.0,0.0,0.0,-25.833333333333332,190.9,0.0,0.0016964285714285714,0.010595238095238095,0.0027678571428571427,0.0044,0.00693452380952381,0.001636904761904762,0.002380952380952381,0.0073,0.0016964285714285714,0.019732142857142858
60,12,1000,16530,30.0,138.33333333333334,1500.0,1.3333333333333333,66.66666666666667,30.0,-52.06666666666667,191.66666666666666,403.3333333333333,0.0006845238095238096,0.0013988095238095237,0.001130952380952381,0.001175,0.0026488095238095238,0.0006845238095238096,0.0009523809523809524,0.001175,0.0006845238095238096,0.0037797619047619047
60,12,1000,17413,8.333333333333334,134.0,1500.0,1.0,0.0,0.0,-41.43333333333333,166.43333333333334,6.666666666666667,0.0008928571428571428,0.0029464285714285716,0.002202380952380952,0.0023,0.0008928571428571428,0.0008928571428571428,0.0008928571428571428,0.004675,0.001488095238095238,0.007976190476190477
120,24,2000,30496,1.6666666666666667,256.6666666666667,1520.0,0.3333333333333333,0.0,0.0,-47.4,179.73333333333332,13.333333333333334,0.0009226190476190477,0.006190476190476191,0.0010714285714285715,0.003125,0.0009226190476190477,0.0008928571428571428,0.0017857142857142857,0.006225,0.0009226190476190477,0.012172619047619048
120,24,2000,31116,100.33333333333333,342.6666666666667,1500.0,0.0,166.66666666666666,0.0,-99.9,184.36666666666667,220.0,0.0010416666666666667,0.022529761904761903,0.003125,0.0034,0.013452380952380952,0.0010416666666666667,0.0011607142857142858,0.016875,0.0010416666666666667,0.038601190476190476
120,24,2000,26940,0.0,193.66666666666666,1500.0,0.6666666666666666,0.0,0.0,-41.53333333333333,185.36666666666667,0.0,0.0010416666666666667,0.009880952380952381,0.0019047619047619048,0.0025,0.0010416666666666667,0.0009523809523809524,0.0011607142857142858,0.005925,0.0010416666666666667,0.015595238095238096
120,24,2000,22904,3.0,302.3333333333333,1500.0,0.6666666666666666,0.0,0.0,-40.03333333333333,200.33333333333334,490.0,0.0007738095238095238,0.019642857142857142,0.00125,0.001675,0.0007738095238095238,0.0007738095238095238,0.0010119047619047618,0.004,0.0007738095238095238,0.023541666666666666
120,24,2000,30334,3.0,483.3333333333333,1500.0,0.6666666666666666,0.0,0.0,-23.433333333333334,176.86666666666667,396.6666666666667,0.001488095238095238,0.026220238095238095,0.007202380952380952,0.008775,0.0016071428571428571,0.001488095238095238,0.0020238095238095236,0.012075,0.0016666666666666668,0.03854166666666667
180,36,5000,50292,0.0,222.0,1500.0,1.3333333333333333,0.0,0.0,-41.13333333333333,178.66666666666666,20.0,0.001130952380952381,0.014315476190476191,0.0019940476190476192,0.005325,0.001130952380952381,0.0010416666666666667,0.0020238095238095236,0.006675,0.0012797619047619049,0.02130952380952381
180,36,5000,44774,100.0,181.0,1520.0,0.0,1233.3333333333333,0.0,-99.96666666666667,193.9,233.33333333333334,0.0010416666666666667,0.017976190476190475,0.0030952380952380953,0.003925,0.010773809523809524,0.0010416666666666667,0.0013690476190476191,0.005425,0.0010416666666666667,0.023214285714285715
180,36,5000,47813,3.3333333333333335,131.33333333333334,1560.0,0.3333333333333333,0.0,0.0,-41.56666666666667,2619.2,0.0,0.0006845238095238096,0.04086309523809524,0.0026488095238095238,0.004375,0.0006845238095238096,0.0006547619047619047,0.0026785714285714286,0.008425,0.0006845238095238096,0.04883928571428572
180,36,5000,50238,30.0,169.66666666666666,1983.3333333333333,0.0,0.0,30.0,-51.266666666666666,184.4,400.0,0.0026785714285714286,0.03386904761904762,0.002232142857142857,0.004075,0.0007142857142857143,0.0020535714285714285,0.004077380952380952,0.00285,0.0027678571428571427,0.03898809523809524
180,36,5000,46356,1.6666666666666667,213.66666666666666,1520.0,1.0,0.0,0.0,-39.4,3540.1666666666665,6.666666666666667,0.0016666666666666668,0.011607142857142858,0.004107142857142857,0.00435,0.0016964285714285714,0.0015773809523809523,0.0017857142857142857,0.002625,0.0018154761904761905,0.016279761904761905
240,48,10000,58316,100.0,160.33333333333334,1500.0,0.0,0.0,0.0,-99.96666666666667,193.56666666666666,213.33333333333334,0.0005059523809523809,0.014553571428571428,0.001755952380952381,0.002025,0.006101190476190476,0.0005059523809523809,0.0006845238095238096,0.00225,0.0005059523809523809,0.01657738095238095
240,48,10000,62410,1.6666666666666667,181.33333333333334,1520.0,1.6666666666666667,0.0,0.0,-35.833333333333336,1554.5,0.0,0.0018154761904761905,0.017767857142857144,0.003511904761904762,0.005325,0.002142857142857143,0.0017261904761904762,0.0013095238095238095,0.014525,0.0018154761904761905,0.03169642857142857
240,48,10000,58433,100.0,304.6666666666667,1500.0,0.0,1400.0,0.0,-99.86666666666666,200.26666666666668,200.0,0.0019345238095238096,0.03818452380952381,0.004851190476190476,0.007025,0.02035714285714286,0.0011607142857142858,0.002857142857142857,0.013975,0.0019345238095238096,0.051875
240,48,10000,67186,30.0,140.0,1520.0,4.0,133.33333333333334,30.0,-51.5,183.03333333333333,400.0,0.0018452380952380953,0.014077380952380952,0.003720238095238095,0.003375,0.005267857142857143,0.0008333333333333334,0.0019642857142857144,0.003525,0.0012797619047619049,0.0175
240,48,10000,59906,100.0,148.0,1520.0,14.666666666666666,1333.3333333333333,0.0,-100.0,1562.7,213.33333333333334,0.000744047619047619,0.02300595238095238,0.0033928571428571428,0.00575,0.011279761904761905,0.0006547619047619047,0.0013392857142857143,0.01005,0.000744047619047619,0.03363095238095238
300,60,18000,80815,100.0,148.33333333333334,1520.0,2.0,5866.666666666667,0.0,-41.766666666666666,6255.733333333334,200.0,0.002976190476190476,0.04086309523809524,0.004077380952380952,0.0045,0.034523809523809526,0.001636904761904762,0.0013988095238095237,0.017225,0.0019345238095238096,0.06032738095238095
300,60,18000,73226,30.0,605.0,1540.0,0.0,600.0,0.0,-99.96666666666667,1950.5666666666666,396.6666666666667,0.0016964285714285714,0.025595238095238095,0.0024702380952380952,0.005125,0.013660714285714286,0.001636904761904762,0.0017857142857142857,0.01375,0.001755952380952381,0.03854166666666667
300,60,18000,75669,3.3333333333333335,916.6666666666666,1500.0,12.0,0.0,0.0,-39.56666666666667,4125.4,0.0,0.0020238095238095236,0.02351190476190476,0.0038095238095238095,0.012875,0.0020238095238095236,0.0019345238095238096,0.003601190476190476,0.0132,0.0020535714285714285,0.042291666666666665
300,60,18000,77045,5.0,153.33333333333334,1520.0,0.3333333333333333,0.0,0.0,-44.266666666666666,1143.8,6.666666666666667,0.0017857142857142857,0.00925595238095238,0.003928571428571429,0.00515,0.002232142857142857,0.0014583333333333334,0.0023511904761904763,0.006825,0.0017857142857142857,0.01681547619047619
300,60,18000,73774,140.0,163.0,1540.0,0.6666666666666666,333.3333333333333,0.0,-35.9,4158.733333333334,0.0,0.0007738095238095238,0.020714285714285713,0.005654761904761905,0.004,0.02386904761904762,0.0007738095238095238,0.0011607142857142858,0.0062,0.0007738095238095238,0.03815476190476191
360,72,18000,80815,100.0,141.66666666666666,1520.0,1.3333333333333333,5766.666666666667,0.0,-38.766666666666666,5789.4,206.66666666666666,0.002976190476190476,0.023928571428571428,0.004077380952380952,0.0045,0.03404761904761905,0.001636904761904762,0.0013988095238095237,0.01215,0.0019345238095238096,0.051220238095238096
360,72,18000,97925,2.0,301.3333333333333,1520.0,0.0,433.3333333333333,0.0,-53.8,3429.6666666666665,0.0,0.0013988095238095237,0.013154761904761905,0.0013095238095238095,0.0022,0.02181547619047619,0.0012797619047619049,0.0013988095238095237,0.008675,0.0013988095238095237,0.03193452380952381
360,72,18000,75669,5.0,225.33333333333334,1520.0,14.0,0.0,0.0,-40.666666666666664,2793.1666666666665,13.333333333333334,0.0020238095238095236,0.023809523809523808,0.0038095238095238095,0.0129,0.0020238095238095236,0.0019345238095238096,0.003601190476190476,0.0132,0.002202380952380952,0.04255952380952381
360,72,18000,77045,1.6666666666666667,151.33333333333334,1520.0,0.0,0.0,0.0,-42.8,968.7,0.0,0.0017857142857142857,0.00925595238095238,0.003928571428571429,0.00495,0.002232142857142857,0.0014583333333333334,0.0019345238095238096,0.006825,0.0017857142857142857,0.01681547619047619
360,72,18000,98965,140.0,209.33333333333334,1520.0,0.6666666666666666,0.0,0.0,-99.96666666666667,165.36666666666667,0.0,0.0004464285714285714,0.019464285714285715,0.0008630952380952381,0.0022,0.0040178571428571425,0.0004464285714285714,0.0005357142857142857,0.003125,0.0004464285714285714,0.022827380952380953
420,84,18000,80815,100.0,132.33333333333334,1520.0,0.0,8066.666666666667,0.0,-42.833333333333336,5527.8,213.33333333333334,0.002976190476190476,0.024880952380952382,0.004077380952380952,0.0045,0.03383928571428572,0.001636904761904762,0.0013988095238095237,0.01535,0.0019345238095238096,0.05440476190476191
420,84,18000,101609,140.0,611.0,1500.0,1.6666666666666667,0.0,0.0,-35.7,6349.133333333333,0.0,0.000625,0.032857142857142856,0.00375,0.0056,0.008541666666666666,0.000625,0.0012797619047619049,0.0199,0.000625,0.05139880952380953
420,84,18000,75669,1.6666666666666667,1194.0,1500.0,11.333333333333334,0.0,0.0,-42.43333333333333,2472.4666666666667,20.0,0.0020238095238095236,0.027321428571428573,0.0038095238095238095,0.012875,0.0020238095238095236,0.0019345238095238096,0.003601190476190476,0.0132,0.002202380952380952,0.04598214285714286
420,84,18000,105391,100.0,156.66666666666666,1540.0,0.0,33.333333333333336,0.0,-99.9,185.7,206.66666666666666,0.0007142857142857143,0.018125,0.0038095238095238095,0.002875,0.011875,0.0007142857142857143,0.0020535714285714285,0.008275,0.0007738095238095238,0.027023809523809523
420,84,18000,98965,140.0,215.0,1500.0,1.0,0.0,0.0,-99.96666666666667,162.53333333333333,0.0,0.0004464285714285714,0.019464285714285715,0.0008630952380952381,0.0022,0.004523809523809524,0.0004464285714285714,0.0005357142857142857,0.003125,0.0004464285714285714,0.023125
480,96,18000,80815,100.0,126.33333333333333,1520.0,0.0,4333.333333333333,0.0,-43.93333333333333,6366.3,200.0,0.002976190476190476,0.041220238095238095,0.004077380952380952,0.0045,0.034583333333333334,0.001636904761904762,0.0016964285714285714,0.01215,0.0019345238095238096,0.05645833333333333
480,96,18000,101609,140.0,757.0,1520.0,1.0,0.0,0.0,-35.63333333333333,5988.666666666667,0.0,0.000625,0.03404761904761905,0.00375,0.0056,0.008541666666666666,0.000625,0.0012797619047619049,0.0199,0.000625,0.052529761904761905
480,96,18000,75669,0.0,237.66666666666666,1500.0,12.0,0.0,0.0,-44.9,1879.0666666666666,0.0,0.0020238095238095236,0.028958333333333332,0.0038095238095238095,0.0129,0.0020238095238095236,0.0019345238095238096,0.003601190476190476,0.02185,0.0020535714285714285,0.05255952380952381
480,96,18000,105391,100.0,184.0,1520.0,0.0,0.0,0.0,-99.93333333333334,183.2,200.0,0.0007142857142857143,0.019285714285714285,0.0038095238095238095,0.002875,0.012261904761904762,0.0007142857142857143,0.0020535714285714285,0.008575,0.0007738095238095238,0.027291666666666665
480,96,18000,98965,140.0,215.66666666666666,1520.0,1.0,0.0,0.0,-100.0,162.06666666666666,0.0,0.0004464285714285714,0.01982142857142857,0.0008630952380952381,0.0022,0.005208333333333333,0.0004464285714285714,0.0005357142857142857,0.003125,0.0004464285714285714,0.023541666666666666
540,108,18000,80815,100.0,130.66666666666666,1500.0,0.0,7733.333333333333,0.0,-44.96666666666667,5277.866666666667,213.33333333333334,0.002976190476190476,0.04193452380952381,0.004077380952380952,0.0081,0.03172619047619048,0.001636904761904762,0.0013988095238095237,0.01215,0.0019345238095238096,0.05842261904761905
540,108,18000,101609,140.0,600.3333333333334,1500.0,1.0,0.0,0.0,-36.233333333333334,7132.2,0.0,0.000625,0.03836309523809524,0.00375,0.0056,0.008541666666666666,0.000625,0.0012797619047619049,0.0199,0.000625,0.05678571428571429
540,108,18000,75669,6.666666666666667,250.0,1540.0,11.666666666666666,0.0,0.0,-41.93333333333333,2053.9,0.0,0.0020238095238095236,0.03226190476190476,0.0038095238095238095,0.012875,0.0020238095238095236,0.0019345238095238096,0.0035416666666666665,0.0132,0.0020535714285714285,0.050595238095238096
540,108,18000,105391,100.0,163.0,1500.0,0.0,33.333333333333336,0.0,-99.96666666666667,214.7,206.66666666666666,0.0007142857142857143,0.019285714285714285,0.0038095238095238095,0.002875,0.01193452380952381,0.0007142857142857143,0.0020535714285714285,0.008275,0.0007738095238095238,0.02705357142857143
540,108,18000,98965,140.0,195.33333333333334,1520.0,0.0,0.0,0.0,-99.96666666666667,167.66666666666666,0.0,0.0004464285714285714,0.01982142857142857,0.0008630952380952381,0.0022,0.004315476190476191,0.0004464285714285714,0.0005357142857142857,0.003125,0.0004464285714285714,0.02336309523809524
600,120,18000,140635,140.0,452.3333333333333,5963.333333333333,10.0,0.0,0.0,-36.2,6007.266666666666,0.0,0.001755952380952381,0.03898809523809524,0.004910714285714286,0.003325,0.023035714285714284,0.001755952380952381,0.0020833333333333333,0.0158,0.001755952380952381,0.05386904761904762
600,120,18000,156287,100.0,292.3333333333333,1540.0,0.0,133.33333333333334,0.0,-99.93333333333334,4922.066666666667,213.33333333333334,0.0010119047619047618,0.02214285714285714,0.003958333333333334,0.002475,0.01306547619047619,0.0010119047619047618,0.0011607142857142858,0.006575,0.0010119047619047618,0.02931547619047619
600,120,18000,101609,140.0,582.6666666666666,1500.0,1.6666666666666667,0.0,0.0,-36.333333333333336,5766.7,0.0,0.000625,0.03770833333333334,0.00375,0.0029,0.008541666666666666,0.000625,0.0012797619047619049,0.0199,0.000625,0.05601190476190476
600,120,18000,80815,100.0,120.66666666666667,1540.0,0.0,8000.0,0.0,-44.93333333333333,5718.033333333334,206.66666666666666,0.002976190476190476,0.023928571428571428,0.004077380952380952,0.0081,0.03422619047619048,0.001636904761904762,0.0013988095238095237,0.017225,0.0019345238095238096,0.05633928571428572
600,120,18000,75669,0.0,1211.0,1500.0,13.666666666666666,0.0,0.0,-41.03333333333333,2678.0333333333333,6.666666666666667,0.0020238095238095236,0.023809523809523808,0.0038095238095238095,0.012875,0.0020238095238095236,0.0019345238095238096,0.003601190476190476,0.0132,0.0020535714285714285,0.042529761904761904
