tpgGen,envGen,trainFrames,teamId,scoreAlien-v0,scoreAsteroids-v0,scoreAtlantis-v0,scoreBankHeist-v0,scoreBattleZone-v0,scoreBowling-v0,scoreBoxing-v0,scoreCentipede-v0,scoreChopperCommand-v0,scoreDoubleDunk-v0,scoreFishingDerby-v0,scoreFreeway-v0,scoreFrostbite-v0,scoreGravitar-v0,scoreHero-v0,visAlien-v0,visAsteroids-v0,visAtlantis-v0,visBankHeist-v0,visBattleZone-v0,visBowling-v0,visBoxing-v0,visCentipede-v0,visChopperCommand-v0,visDoubleDunk-v0,visFishingDerby-v0,visFreeway-v0,visFrostbite-v0,visGravitar-v0,visHero-v0,visTotal
60,12,1000,610,140.0,123.33333333333333,1500.0,2.0,1000.0,0.0,-42.3,2271.2,173.33333333333334,-0.8666666666666667,-96.8,0.0,0.0,0.0,0.0,0.0010714285714285715,0.003601190476190476,0.0017261904761904762,0.0017,0.002113095238095238,0.0008333333333333334,0.00125,0.003025,0.0008333333333333334,0.003025,0.0013392857142857143,0.0008333333333333334,0.0008333333333333334,0.0027083333333333334,0.001130952380952381,0.006726190476190476
60,12,1000,2335,30.0,238.33333333333334,1500.0,0.0,266.6666666666667,0.0,-25.433333333333334,8097.633333333333,1100.0,-0.6,-99.0,0.0,0.0,0.0,0.0,0.0008928571428571428,0.002202380952380952,0.0019940476190476192,0.001025,0.002202380952380952,0.0008928571428571428,0.0009821428571428572,0.00185,0.0011607142857142858,0.0018,0.0012797619047619049,0.00125,0.0008928571428571428,0.002202380952380952,0.0009821428571428572,0.003958333333333334
60,12,1000,15080,140.0,469.0,1520.0,0.6666666666666666,3900.0,0.0,-37.06666666666667,1827.5666666666666,0.0,-1.2666666666666666,-99.0,0.0,80.0,0.0,0.0,0.0013095238095238095,0.010892857142857143,0.003244047619047619,0.00395,0.009642857142857142,0.0013095238095238095,0.0016071428571428571,0.009425,0.0013095238095238095,0.008075,0.002916666666666667,0.0013095238095238095,0.0013095238095238095,0.01119047619047619,0.0016666666666666668,0.020029761904761904
60,12,1000,9479,139.66666666666666,122.0,1520.0,14.0,3133.3333333333335,0.0,-41.166666666666664,2387.633333333333,200.0,-0.7333333333333333,-97.0,0.0,0.0,0.0,0.0,0.0009523809523809524,0.0038392857142857144,0.0012202380952380952,0.004525,0.006309523809523809,0.0009226190476190477,0.0009226190476190477,0.001975,0.0012202380952380952,0.001975,0.0016666666666666668,0.0009226190476190477,0.0009226190476190477,0.0038392857142857144,0.0020238095238095236,0.010922619047619047
60,12,1000,986,30.0,159.33333333333334,1500.0,2.3333333333333335,0.0,0.0,-23.3,2138.0333333333333,1100.0,-0.5333333333333333,-99.0,0.0,0.0,0.0,0.0,0.0013095238095238095,0.002976190476190476,0.0010416666666666667,0.00125,0.002976190476190476,0.0009523809523809524,0.0010416666666666667,0.0025,0.0015178571428571428,0.0025,0.0014285714285714286,0.0013095238095238095,0.0013095238095238095,0.002976190476190476,0.0013095238095238095,0.005178571428571428
120,24,2000,27878,100.0,165.33333333333334,1500.0,0.0,533.3333333333334,0.0,-99.93333333333334,5036.0,206.66666666666666,-1.4,-99.0,0.0,0.0,75.0,0.0,0.0006845238095238096,0.0016666666666666668,0.0008928571428571428,0.000725,0.001636904761904762,0.0004166666666666667,0.0004166666666666667,0.0015,0.0004166666666666667,0.0015,0.0004464285714285714,0.0004166666666666667,0.0004166666666666667,0.0017857142857142857,0.0008630952380952381,0.003244047619047619
120,24,2000,17168,100.0,291.3333333333333,1500.0,0.3333333333333333,10500.0,0.0,-32.36666666666667,5651.0,200.0,-1.0666666666666667,-99.0,0.0,0.0,25.0,0.0,0.0013095238095238095,0.012946428571428572,0.001130952380952381,0.00575,0.0035416666666666665,0.0008333333333333334,0.0014285714285714286,0.0078,0.0009523809523809524,0.007575,0.0017857142857142857,0.0008333333333333334,0.0008630952380952381,0.01,0.0011904761904761906,0.022470238095238095
120,24,2000,4032,3.0,154.33333333333334,1540.0,0.0,1833.3333333333333,0.0,-24.033333333333335,3187.8333333333335,503.3333333333333,-1.0666666666666667,-99.0,21.7,0.0,0.0,0.0,0.0002380952380952381,0.005357142857142857,0.0011904761904761906,0.003625,0.005357142857142857,0.0002380952380952381,0.0002380952380952381,0.0045,0.0002380952380952381,0.004225,0.0019047619047619048,0.0002380952380952381,0.0002380952380952381,0.005357142857142857,0.0011904761904761906,0.009672619047619048
120,24,2000,16924,140.0,337.0,1500.0,3.3333333333333335,633.3333333333334,0.0,-99.93333333333334,298.23333333333335,393.3333333333333,-0.8666666666666667,-97.8,0.0,0.0,0.0,0.0,0.0026785714285714286,0.010803571428571428,0.0014583333333333334,0.00255,0.008839285714285714,0.0014583333333333334,0.0017857142857142857,0.008625,0.0010416666666666667,0.008275,0.0029464285714285716,0.0014583333333333334,0.002113095238095238,0.008809523809523809,0.0010416666666666667,0.019642857142857142
120,24,2000,28856,30.0,252.33333333333334,1520.0,0.0,4366.666666666667,0.0,-52.166666666666664,5654.366666666667,500.0,-0.8,-99.0,0.0,0.0,16.666666666666668,0.0,0.0016964285714285714,0.014732142857142857,0.0024404761904761904,0.0029,0.008125,0.0011904761904761906,0.0011904761904761906,0.0119,0.0014583333333333334,0.010725,0.002619047619047619,0.0013988095238095237,0.0012797619047619049,0.01494047619047619,0.0016964285714285714,0.02654761904761905
