tpgGen,envGen,trainFrames,teamId,scoreAlien-v0,scoreAsteroids-v0,scoreAtlantis-v0,scoreBankHeist-v0,scoreBattleZone-v0,scoreBowling-v0,scoreBoxing-v0,scoreCentipede-v0,scoreChopperCommand-v0,scoreDoubleDunk-v0,scoreFishingDerby-v0,scoreFreeway-v0,scoreFrostbite-v0,scoreGravitar-v0,scoreHero-v0,scoreIceHockey-v0,scoreJamesbond-v0,scoreKangaroo-v0,scoreKrull-v0,scoreKungFuMaster-v0,scoreMsPacman-v0,scorePrivateEye-v0,scoreRoadRunner-v0,scoreSkiing-v0,scoreTennis-v0,scoreTimePilot-v0,scoreUpNDown-v0,scoreVenture-v0,scoreWizardOfWor-v0,scoreZaxxon-v0,visAlien-v0,visAsteroids-v0,visAtlantis-v0,visBankHeist-v0,visBattleZone-v0,visBowling-v0,visBoxing-v0,visCentipede-v0,visChopperCommand-v0,visDoubleDunk-v0,visFishingDerby-v0,visFreeway-v0,visFrostbite-v0,visGravitar-v0,visHero-v0,visIceHockey-v0,visJamesbond-v0,visKangaroo-v0,visKrull-v0,visKungFuMaster-v0,visMsPacman-v0,visPrivateEye-v0,visRoadRunner-v0,visSkiing-v0,visTennis-v0,visTimePilot-v0,visUpNDown-v0,visVenture-v0,visWizardOfWor-v0,visZaxxon-v0,visTotal
675,15,1000,84289,139.666666667,168.0,1540.0,1.0,0.0,0.0,-99.6666666667,164.833333333,0.0,-0.6,-99.0,0.0,80.0,0.0,0.0,-3.4,0.0,0.0,0.0,0.0,70.0,0.0,380.0,-13486.8333333,-0.966666666667,500.0,2188.66666667,0.0,100.0,0.0,0.0206349206349,0.123015873016,0.0716931216931,0.0171957671958,0.0846560846561,0.0171957671958,0.0206349206349,0.0716490299824,0.0206349206349,0.0716490299824,0.0201058201058,0.060582010582,0.0201058201058,0.026455026455,0.0201058201058,0.0722222222222,0.0756613756614,0.0201058201058,0.0645502645503,0.0206349206349,0.0206349206349,0.0611111111111,0.026455026455,0.0143298059965,0.0171957671958,0.0206349206349,0.0621693121693,0.117195767196,0.0171957671958,0.0851851851852,0.192063492063
675,15,1000,12970,139.333333333,193.333333333,1523.33333333,0.0,0.0,0.0,-97.0,182.733333333,13.3333333333,-0.466666666667,-99.0,0.0,0.666666666667,0.0,0.0,-8.2,0.0,0.0,1019.5,0.0,70.0,-790.8,970.0,-13373.6666667,-23.4666666667,406.666666667,700.333333333,0.0,300.0,0.0,0.0391534391534,0.0415343915344,0.0391534391534,0.0216049382716,0.0415343915344,0.0391534391534,0.0391534391534,0.0216049382716,0.0391534391534,0.0216049382716,0.026455026455,0.0391534391534,0.026455026455,0.026455026455,0.0415343915344,0.0415343915344,0.0415343915344,0.026455026455,0.0391534391534,0.0391534391534,0.026455026455,0.026455026455,0.026455026455,0.0326278659612,0.0326278659612,0.0391534391534,0.0391534391534,0.026455026455,0.0216049382716,0.0415343915344,0.0690476190476
675,15,1000,45420,139.333333333,133.0,1520.0,1.33333333333,833.333333333,30.1,-50.7,1630.03333333,400.0,-0.933333333333,-98.9333333333,0.0,0.333333333333,8.33333333333,0.0,-19.2,0.0,0.0,28.2,0.0,60.0,0.0,366.666666667,-14379.0,-0.966666666667,403.333333333,20.6666666667,0.0,0.0,0.0,0.0121693121693,0.0121693121693,0.0121693121693,0.0101410934744,0.0121693121693,0.0119047619048,0.0121693121693,0.0101410934744,0.0119047619048,0.0101410934744,0.0119047619048,0.0121693121693,0.0119047619048,0.0121693121693,0.0119047619048,0.0121693121693,0.0121693121693,0.0121693121693,0.0121693121693,0.0119047619048,0.0121693121693,0.0121693121693,0.0121693121693,0.00992063492063,0.00992063492063,0.0121693121693,0.0121693121693,0.0121693121693,0.0101410934744,0.0121693121693,0.0193121693122
675,15,1000,65582,139.666666667,243.333333333,7953.33333333,0.666666666667,0.0,0.0,-99.8666666667,306.5,0.0,-0.866666666667,-99.0,0.0,79.0,0.0,0.0,-23.0,0.0,0.0,1061.8,0.0,70.0,-1000.0,953.333333333,-12602.9,-0.966666666667,403.333333333,849.333333333,0.0,300.0,0.0,0.0806878306878,0.127513227513,0.0949735449735,0.0983245149912,0.094708994709,0.0806878306878,0.0804232804233,0.0597442680776,0.0814814814815,0.0310846560847,0.0814814814815,0.0820105820106,0.0616402116402,0.0719576719577,0.0849206349206,0.0378306878307,0.0439153439153,0.0806878306878,0.122751322751,0.0806878306878,0.0806878306878,0.0806878306878,0.0939153439153,0.0665784832451,0.0665784832451,0.0806878306878,0.0431216931217,0.0719576719577,0.0529100529101,0.113227513228,0.252645502646
675,15,1000,64044,29.3333333333,133.333333333,1500.0,1.0,0.0,30.0,-51.3333333333,172.833333333,403.333333333,-0.933333333333,-98.9333333333,0.0,0.333333333333,8.33333333333,0.0,-3.3,0.0,0.0,0.0,0.0,70.0,0.0,673.333333333,-13732.3,-0.933333333333,403.333333333,93.6666666667,0.0,0.0,0.0,0.0124338624339,0.121957671958,0.0380952380952,0.0103615520282,0.0124338624339,0.0124338624339,0.0124338624339,0.0103615520282,0.0124338624339,0.0103615520282,0.0124338624339,0.0362433862434,0.0124338624339,0.0124338624339,0.0124338624339,0.0124338624339,0.0124338624339,0.0124338624339,0.0539682539683,0.0124338624339,0.0124338624339,0.0124338624339,0.0124338624339,0.0103615520282,0.0103615520282,0.0124338624339,0.0415343915344,0.0124338624339,0.0103615520282,0.0362433862434,0.140476190476
1350,30,5000,94529,138.666666667,277.666666667,1520.0,0.666666666667,6266.66666667,0.0,-37.0666666667,8456.36666667,0.0,-0.866666666667,-99.0,0.0,77.6666666667,0.0,0.0,-21.7666666667,0.0,0.0,117.0,0.0,60.0,-1000.0,0.0,-14005.1666667,-24.0,403.333333333,690.0,0.0,0.0,0.0,0.0190476190476,0.0208994708995,0.0208994708995,0.015873015873,0.0208994708995,0.0190476190476,0.0190476190476,0.0174162257496,0.0190476190476,0.0174162257496,0.0190476190476,0.0190476190476,0.0190476190476,0.0208994708995,0.0190476190476,0.0208994708995,0.0208994708995,0.0190476190476,0.0208994708995,0.0190476190476,0.0190476190476,0.0190476190476,0.0190476190476,0.015873015873,0.015873015873,0.0190476190476,0.0190476190476,0.0208994708995,0.015873015873,0.0208994708995,0.0349206349206
1350,30,5000,63802,139.0,269.0,3590.0,1.33333333333,1766.66666667,0.0,-41.5333333333,301.766666667,180.0,-0.866666666667,-99.0,0.0,2.66666666667,8.33333333333,0.0,-16.2,0.0,0.0,14.0,0.0,60.0,-456.066666667,0.0,-14814.0666667,-24.0,403.333333333,729.666666667,0.0,3.33333333333,0.0,0.023544973545,0.0589947089947,0.0375661375661,0.0418871252205,0.0489417989418,0.023544973545,0.023544973545,0.0418871252205,0.023544973545,0.0418871252205,0.0346560846561,0.023544973545,0.023544973545,0.0489417989418,0.0304232804233,0.0489417989418,0.0375661375661,0.023544973545,0.0473544973545,0.023544973545,0.023544973545,0.023544973545,0.0346560846561,0.0202821869489,0.0202821869489,0.023544973545,0.023544973545,0.0489417989418,0.0295414462081,0.0489417989418,0.0896825396825
1350,30,5000,45420,29.3333333333,136.666666667,1596.66666667,1.0,0.0,30.0,-50.3,174.5,406.666666667,-0.8,-98.9333333333,0.0,0.0,0.0,0.0,-3.5,0.0,0.0,0.0,0.0,70.0,0.0,980.0,-14715.7,-1.0,403.333333333,20.6666666667,0.0,0.0,0.0,0.0111111111111,0.0126984126984,0.0126984126984,0.0108024691358,0.0126984126984,0.0111111111111,0.0111111111111,0.0108024691358,0.0111111111111,0.0108024691358,0.0126984126984,0.0111111111111,0.0111111111111,0.0126984126984,0.0111111111111,0.0126984126984,0.0126984126984,0.0111111111111,0.0126984126984,0.0111111111111,0.0111111111111,0.0111111111111,0.0126984126984,0.0108024691358,0.00925925925926,0.0111111111111,0.0111111111111,0.0126984126984,0.0108024691358,0.0126984126984,0.0195767195767
1350,30,5000,65582,99.0,181.333333333,1560.0,0.0,0.0,0.0,-99.8,191.366666667,213.333333333,-1.06666666667,-99.0,0.0,3.33333333333,33.3333333333,0.0,-19.5333333333,0.0,0.0,0.0,0.0,210.0,-926.866666667,0.0,-12880.6333333,-0.966666666667,303.333333333,706.666666667,0.0,0.0,0.0,0.023544973545,0.0407407407407,0.0238095238095,0.0341710758377,0.0238095238095,0.023544973545,0.023544973545,0.0198412698413,0.0238095238095,0.0198412698413,0.023544973545,0.0238095238095,0.023544973545,0.0407407407407,0.023544973545,0.0238095238095,0.023544973545,0.023544973545,0.0238095238095,0.023544973545,0.0238095238095,0.0238095238095,0.0238095238095,0.0196208112875,0.0196208112875,0.0238095238095,0.0238095238095,0.0407407407407,0.0198412698413,0.0238095238095,0.0701058201058
1350,30,5000,166,32.3333333333,137.0,1500.0,0.0,7400.0,0.0,-35.2,6885.63333333,503.333333333,-0.933333333333,-98.9333333333,0.0,2.33333333333,0.0,0.0,-18.9,0.0,0.0,0.0,0.0,60.0,-1000.0,0.0,-13338.1666667,-23.9666666667,403.333333333,737.0,0.0,0.0,0.0,0.0137566137566,0.0137566137566,0.0137566137566,0.011684303351,0.0137566137566,0.0137566137566,0.0137566137566,0.011684303351,0.0137566137566,0.011684303351,0.0137566137566,0.0137566137566,0.0137566137566,0.0137566137566,0.0137566137566,0.0137566137566,0.0137566137566,0.0137566137566,0.0137566137566,0.0137566137566,0.0137566137566,0.0137566137566,0.0137566137566,0.011684303351,0.011684303351,0.0137566137566,0.0137566137566,0.0137566137566,0.011684303351,0.0137566137566,0.0230158730159
