tpgGen,hoursElapsed,teamId,scoreAlien-v0,scoreAsteroids-v0,scoreAtlantis-v0,scoreBankHeist-v0,scoreBattleZone-v0,scoreBowling-v0,scoreBoxing-v0,scoreCentipede-v0,visAlien-v0,visAsteroids-v0,visAtlantis-v0,visBankHeist-v0,visBattleZone-v0,visBowling-v0,visBoxing-v0,visCentipede-v0,visTotal
50,11.239911444385847,12197,282.0,1346.0,43870.0,15.0,4100.0,40.4,-8.1,5174.7,0.006279761904761905,0.008005952380952381,0.007053571428571428,0.005275,0.006369047619047619,0.005357142857142857,0.007053571428571428,0.00535,0.013244047619047619
50,11.239912148449156,12321,256.0,1487.0,38770.0,13.0,6200.0,40.5,-6.3,2019.6,0.006160714285714286,0.0225,0.0075297619047619046,0.014175,0.017767857142857144,0.005238095238095238,0.00693452380952381,0.0068,0.036279761904761905
50,11.239912811981307,11397,276.0,795.0,42210.0,4.0,8600.0,38.0,-11.0,2708.5,0.006190476190476191,0.016428571428571428,0.014791666666666667,0.0111,0.017261904761904763,0.005267857142857143,0.0069642857142857145,0.0107,0.032857142857142856
50,11.239913446572093,12915,259.0,3183.0,42960.0,12.0,7400.0,38.6,-9.6,3561.0,0.006875,0.010922619047619047,0.01255952380952381,0.005325,0.01255952380952381,0.005952380952380952,0.007648809523809524,0.005325,0.017589285714285714
50,11.23991407122877,12107,277.0,1315.0,40490.0,2.0,5400.0,39.6,-10.2,3003.9,0.005446428571428572,0.007083333333333333,0.0062202380952380955,0.004575,0.007083333333333333,0.004523809523809524,0.0062202380952380955,0.004575,0.011547619047619048
100,23.49895555310779,18231,261.0,1867.0,44810.0,21.0,4100.0,41.5,-5.1,10449.9,0.007648809523809524,0.03657738095238095,0.008214285714285714,0.005525,0.026071428571428572,0.005654761904761905,0.0073511904761904764,0.00815,0.04729166666666667
100,23.498956157432662,23814,274.0,1457.0,42360.0,19.0,7500.0,37.3,-10.0,5633.2,0.006339285714285714,0.007976190476190477,0.007113095238095238,0.005325,0.007976190476190477,0.005416666666666667,0.007113095238095238,0.005325,0.013214285714285715
100,23.498956730100844,18054,257.0,1189.0,35920.0,27.0,9700.0,41.5,-10.6,4523.8,0.005416666666666667,0.007053571428571428,0.006845238095238095,0.00455,0.005416666666666667,0.004494047619047619,0.006190476190476191,0.007525,0.015089285714285715
100,23.498957298331792,23954,243.0,1536.0,44120.0,22.0,7400.0,38.8,-8.7,7470.6,0.006636904761904762,0.03473214285714286,0.008273809523809524,0.005575,0.007142857142857143,0.005714285714285714,0.007410714285714286,0.006,0.04038690476190476
100,23.498957878218757,23675,273.0,1548.0,38210.0,18.0,11400.0,38.6,-5.5,9238.0,0.005238095238095238,0.029642857142857144,0.006011904761904762,0.0044,0.018601190476190476,0.004315476190476191,0.006011904761904762,0.0051,0.03517857142857143
150,39.116707684397696,33263,253.0,2470.0,26420.0,0.0,6900.0,67.9,-10.0,10526.4,0.01755952380952381,0.045922619047619045,0.03443452380952381,0.0128,0.033720238095238095,0.01755952380952381,0.02044642857142857,0.027275,0.07375
150,39.11670830746492,37635,298.0,2048.0,24290.0,0.0,5100.0,84.3,5.0,8381.4,0.019404761904761904,0.033511904761904764,0.027976190476190477,0.013125,0.02580357142857143,0.015684523809523808,0.015803571428571427,0.025625,0.05773809523809524
150,39.11670888675584,36865,382.0,2138.0,25230.0,18.0,4700.0,77.5,4.4,9180.7,0.019375,0.03324404761904762,0.02806547619047619,0.013775,0.025595238095238095,0.01574404761904762,0.015773809523809523,0.01785,0.05154761904761905
150,39.11670948942503,36334,309.0,2084.0,21280.0,0.0,3900.0,85.8,3.7,7087.9,0.019285714285714285,0.029791666666666668,0.027976190476190477,0.013675,0.025357142857142856,0.015654761904761904,0.015684523809523808,0.0191,0.05139880952380953
150,39.116710066133074,36636,309.0,1663.0,24580.0,0.0,4900.0,77.7,-1.7,10790.8,0.01904761904761905,0.032916666666666664,0.027708333333333335,0.006625,0.023541666666666666,0.015386904761904761,0.015446428571428571,0.02735,0.058511904761904765
200,57.93875127838717,49363,290.0,1844.0,45640.0,20.0,7500.0,37.6,-1.5,6622.1,0.008392857142857143,0.041398809523809525,0.00994047619047619,0.0074,0.026398809523809522,0.006517857142857143,0.008214285714285714,0.029325,0.06943452380952381
200,57.93875211795171,50227,256.0,1798.0,42350.0,18.0,8600.0,38.7,-8.7,7407.8,0.007023809523809524,0.01699404761904762,0.008214285714285714,0.0059,0.01863095238095238,0.006101190476190476,0.007797619047619048,0.005125,0.024404761904761905
200,57.93875271015697,49116,249.0,1157.0,42240.0,21.0,6800.0,40.0,-11.6,8981.0,0.007410714285714286,0.017261904761904763,0.009375,0.006225,0.014255952380952381,0.006488095238095238,0.00818452380952381,0.00545,0.024970238095238094
200,57.93875353720453,50114,319.0,1328.0,20800.0,16.0,9500.0,39.6,-9.0,9426.9,0.01988095238095238,0.027708333333333335,0.02982142857142857,0.007725,0.017648809523809525,0.008273809523809524,0.017886904761904764,0.006025,0.043333333333333335
200,57.93875412344933,45477,263.0,1854.0,22130.0,0.0,3900.0,76.5,5.1,7570.9,0.019672619047619046,0.03342261904761905,0.028273809523809524,0.013575,0.02407738095238095,0.015952380952380954,0.01607142857142857,0.0102,0.05032738095238095
