tpgGen,hoursElapsed,teamId,scoreAlien-v0,scoreAsteroids-v0,scoreAtlantis-v0,scoreBankHeist-v0,scoreBattleZone-v0,scoreBowling-v0,scoreBoxing-v0,scoreCentipede-v0,visAlien-v0,visAsteroids-v0,visAtlantis-v0,visBankHeist-v0,visBattleZone-v0,visBowling-v0,visBoxing-v0,visCentipede-v0,visTotal
50,20.114551766581005,8284,207.0,1394.0,38690.0,62.0,8800.0,47.4,-5.9,4809.2,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.0088,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.0088,0.018988095238095238
50,20.114552365409004,10848,83.0,2052.0,27170.0,13.0,5900.0,51.8,-36.5,4353.2,0.030535714285714284,0.038125,0.037767857142857145,0.030025,0.038125,0.03633928571428571,0.02449404761904762,0.017775,0.06773809523809524
50,20.114552943441602,9847,224.0,1178.0,39850.0,3.0,5700.0,47.6,-1.1,3582.6,0.02800595238095238,0.034761904761904765,0.020982142857142855,0.0215,0.026904761904761904,0.015386904761904761,0.02032738095238095,0.020325,0.05824404761904762
50,20.114553519686062,10292,126.0,519.0,21310.0,8.0,7300.0,74.0,-9.1,2927.2,0.029047619047619048,0.02654761904761905,0.024375,0.020925,0.029732142857142856,0.022232142857142857,0.029047619047619048,0.023375,0.05976190476190476
50,20.11455410003662,11305,172.0,2013.0,38810.0,1.0,2500.0,68.1,-7.0,4527.8,0.026101190476190476,0.05348214285714286,0.03288690476190476,0.031725,0.055327380952380954,0.026101190476190476,0.030982142857142857,0.036925,0.09800595238095237
100,47.584398786226906,23095,249.0,1203.0,42730.0,18.0,19200.0,79.4,-5.0,5143.8,0.01880952380952381,0.03815476190476191,0.020148809523809524,0.02935,0.03190476190476191,0.01880952380952381,0.01880952380952381,0.02945,0.06922619047619048
100,47.584399543934396,24062,213.0,2048.0,44600.0,22.0,15800.0,75.5,-9.5,7040.1,0.01863095238095238,0.036458333333333336,0.01875,0.0305,0.03184523809523809,0.01863095238095238,0.01863095238095238,0.02595,0.06770833333333333
100,47.58440040118165,24253,230.0,1629.0,38480.0,24.0,22200.0,81.6,-6.4,6135.3,0.020089285714285716,0.04178571428571429,0.02142857142857143,0.03065,0.033511904761904764,0.020089285714285716,0.020089285714285716,0.027375,0.07333333333333333
100,47.584401118689115,19574,246.0,1821.0,45480.0,17.0,16300.0,77.1,-4.3,7607.0,0.01636904761904762,0.04220238095238095,0.01648809523809524,0.029275,0.031785714285714285,0.01636904761904762,0.01636904761904762,0.024775,0.07148809523809524
100,47.584401990440156,21959,247.0,1238.0,35460.0,20.0,16900.0,85.3,-10.3,6568.6,0.01842261904761905,0.039910714285714285,0.018541666666666668,0.028975,0.02886904761904762,0.01842261904761905,0.01842261904761905,0.0257,0.07005952380952381
