tpgGen,hoursElapsed,teamId,scoreAlien-v0,scoreAsteroids-v0,scoreAtlantis-v0,scoreBankHeist-v0,scoreBattleZone-v0,scoreBowling-v0,scoreBoxing-v0,scoreCentipede-v0,visAlien-v0,visAsteroids-v0,visAtlantis-v0,visBankHeist-v0,visBattleZone-v0,visBowling-v0,visBoxing-v0,visCentipede-v0,visTotal
50,33.13398900091648,10257,261.0,968.0,42150.0,19.0,3500.0,77.8,-39.3,5386.5,0.010357142857142856,0.017410714285714286,0.010357142857142856,0.01115,0.010357142857142856,0.010357142857142856,0.010357142857142856,0.0087,0.027886904761904762
50,33.133989952339064,10564,219.0,709.0,39590.0,14.0,3300.0,88.7,-37.6,6827.8,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.0112,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.00875,0.020982142857142855
50,33.13399088468817,10733,30.0,2371.0,21180.0,82.0,2800.0,83.9,-39.2,2044.7,0.005119047619047619,0.015357142857142857,0.01181547619047619,0.004325,0.01181547619047619,0.009732142857142858,0.009732142857142858,0.009925,0.02431547619047619
50,33.133992023203106,9842,30.0,3394.0,25550.0,78.0,7200.0,83.6,-39.8,2518.4,0.005505952380952381,0.01574404761904762,0.012202380952380952,0.00465,0.012202380952380952,0.01017857142857143,0.01017857142857143,0.00465,0.01982142857142857
50,33.13399317463239,11059,158.0,1991.0,42800.0,18.0,2800.0,78.6,-40.0,3014.7,0.016160714285714285,0.012857142857142857,0.015386904761904761,0.010275,0.01830357142857143,0.00931547619047619,0.00931547619047619,0.007825,0.031160714285714285
100,64.2601128694084,22399,133.0,1091.0,20070.0,65.0,10000.0,70.4,-3.5,6251.5,0.011160714285714286,0.031101190476190477,0.027678571428571427,0.01895,0.021458333333333333,0.011160714285714286,0.011160714285714286,0.017275,0.06220238095238095
100,64.26011363572545,20272,133.0,3137.0,21460.0,94.0,4600.0,84.5,-40.2,5235.3,0.008660714285714285,0.017619047619047618,0.014077380952380952,0.011825,0.014077380952380952,0.008660714285714285,0.008660714285714285,0.006225,0.028422619047619047
100,64.2601143568092,20090,162.0,1193.0,28190.0,98.0,4900.0,69.3,-4.5,5135.1,0.006845238095238095,0.00818452380952381,0.00818452380952381,0.006925,0.00818452380952381,0.00818452380952381,0.00818452380952381,0.006925,0.014464285714285714
100,64.26011493576898,23235,170.0,895.0,24990.0,85.0,5900.0,47.1,-3.0,1520.7,0.017232142857142856,0.010476190476190476,0.017232142857142856,0.008225,0.010476190476190476,0.017232142857142856,0.009761904761904762,0.008825,0.02642857142857143
100,64.2601156478458,20675,123.0,1634.0,19540.0,92.0,3600.0,72.8,-2.1,4495.2,0.01556547619047619,0.01556547619047619,0.01556547619047619,0.00625,0.01556547619047619,0.012827380952380953,0.015386904761904761,0.013,0.027529761904761904
150,95.8697196863095,20272,138.0,3199.0,26790.0,82.0,7600.0,71.7,-40.6,5695.9,0.008660714285714285,0.017619047619047618,0.014077380952380952,0.011825,0.014077380952380952,0.008660714285714285,0.008660714285714285,0.006225,0.028422619047619047
150,95.86972039467759,34967,140.0,3384.0,24190.0,81.0,10800.0,72.9,-41.2,5961.9,0.01005952380952381,0.017708333333333333,0.015714285714285715,0.00765,0.015714285714285715,0.01005952380952381,0.01005952380952381,0.006275,0.026279761904761906
150,95.86972125397789,34009,99.0,3097.0,26030.0,92.0,5700.0,85.4,-40.3,9795.4,0.014136904761904762,0.02050595238095238,0.01806547619047619,0.009625,0.037589285714285714,0.008958333333333334,0.008958333333333334,0.011725,0.04842261904761905
150,95.86972211314573,29751,123.0,3146.0,22080.0,76.0,9300.0,89.7,-40.5,6228.7,0.009404761904761905,0.018333333333333333,0.014821428571428572,0.00685,0.014821428571428572,0.009404761904761905,0.009404761904761905,0.00685,0.02461309523809524
150,95.8697229711877,32678,140.0,1507.0,23960.0,82.0,9200.0,76.6,-38.8,7408.7,0.008690476190476191,0.02494047619047619,0.02494047619047619,0.0176,0.008690476190476191,0.008690476190476191,0.008690476190476191,0.015475,0.04639880952380952
