tpgGen,hoursElapsed,teamId,scoreAlien-v0,scoreAsteroids-v0,scoreAtlantis-v0,scoreBankHeist-v0,scoreBattleZone-v0,scoreBowling-v0,scoreBoxing-v0,scoreCentipede-v0,visAlien-v0,visAsteroids-v0,visAtlantis-v0,visBankHeist-v0,visBattleZone-v0,visBowling-v0,visBoxing-v0,visCentipede-v0,visTotal
50,22.356125988827813,2765,177.0,1319.0,27770.0,64.0,7300.0,90.3,-21.3,4534.4,0.016875,0.022916666666666665,0.02095238095238095,0.00815,0.011726190476190477,0.013958333333333333,0.011964285714285714,0.00915,0.04303571428571429
50,22.356126722892125,6995,177.0,2006.0,32070.0,18.0,4100.0,90.3,-36.4,5461.2,0.016428571428571428,0.020892857142857144,0.02175595238095238,0.0081,0.013095238095238096,0.013035714285714286,0.011517857142857142,0.014725,0.041220238095238095
50,22.356127412451638,9668,188.0,1191.0,21030.0,111.0,1400.0,87.7,-13.5,2433.1,0.018482142857142857,0.02238095238095238,0.02693452380952381,0.007575,0.023065476190476192,0.01556547619047619,0.013571428571428571,0.0086,0.04151785714285714
50,22.35612809876601,8746,209.0,1175.0,40740.0,128.0,5100.0,97.7,-19.3,3945.4,0.015059523809523809,0.01886904761904762,0.012619047619047618,0.004675,0.014464285714285714,0.012142857142857143,0.010148809523809523,0.005675,0.03125
50,22.356128769516946,6845,187.0,1474.0,22640.0,74.0,6600.0,97.8,-37.8,5693.1,0.017232142857142856,0.03726190476190476,0.030029761904761906,0.017775,0.026488095238095238,0.018125,0.024136904761904762,0.017025,0.065
100,47.77395174211926,18285,185.0,2600.0,34930.0,24.0,7500.0,78.3,-0.4,6432.6,0.013839285714285714,0.040982142857142856,0.02125,0.017125,0.035386904761904765,0.014732142857142857,0.015089285714285715,0.016375,0.06553571428571428
100,47.77395258320703,21889,202.0,1368.0,38690.0,16.0,7600.0,99.1,-27.0,6569.2,0.02473214285714286,0.04324404761904762,0.022470238095238095,0.015325,0.032589285714285716,0.014345238095238095,0.011607142857142858,0.014575,0.06351190476190476
100,47.77395338310136,18562,225.0,1587.0,28230.0,22.0,8700.0,87.5,-9.9,6585.6,0.02505952380952381,0.038660714285714284,0.022321428571428572,0.015225,0.03514880952380953,0.014553571428571428,0.017619047619047618,0.018025,0.06729166666666667
100,47.77395418855879,19785,177.0,1846.0,25090.0,23.0,9300.0,88.6,-5.3,6975.0,0.02205357142857143,0.038214285714285715,0.022529761904761903,0.01535,0.032470238095238094,0.014732142857142857,0.027708333333333335,0.0146,0.068125
100,47.77395499434736,22218,185.0,1703.0,25550.0,31.0,5600.0,85.0,-5.4,6069.5,0.014851190476190476,0.04175595238095238,0.02300595238095238,0.015825,0.03175595238095238,0.015476190476190477,0.015386904761904761,0.01485,0.06261904761904762
