tpgGen,hoursElapsed,teamId,scoreAlien-v0,scoreAsteroids-v0,scoreAtlantis-v0,scoreBankHeist-v0,scoreBattleZone-v0,scoreBowling-v0,scoreBoxing-v0,scoreCentipede-v0,visAlien-v0,visAsteroids-v0,visAtlantis-v0,visBankHeist-v0,visBattleZone-v0,visBowling-v0,visBoxing-v0,visCentipede-v0,visTotal
50,36.784056029452216,185138,199.0,143.0,1500.0,0.0,5300.0,101.7,-35.4,8286.9,0.010476190476190476,0.008214285714285714,0.008035714285714285,0.0027,0.006904761904761905,0.011369047619047619,0.005535714285714285,0.004225,0.016220238095238097
50,36.784056644704606,9440,256.0,2773.0,26940.0,6.0,3200.0,42.7,-3.5,1847.1,0.012440476190476191,0.015803571428571427,0.011547619047619048,0.013275,0.011547619047619048,0.012440476190476191,0.012440476190476191,0.013275,0.02818452380952381
50,36.7840572294924,5621,114.0,131.0,1500.0,0.0,1800.0,93.9,-8.7,10698.2,0.01113095238095238,0.010833333333333334,0.012827380952380953,0.003225,0.020416666666666666,0.010386904761904762,0.012023809523809523,0.003225,0.024523809523809524
50,36.78405783249272,4773,233.0,789.0,25180.0,3.0,3800.0,89.3,-14.0,2397.5,0.017857142857142856,0.017886904761904764,0.02214285714285714,0.0119,0.024166666666666666,0.016220238095238097,0.016220238095238097,0.012525,0.04416666666666667
50,36.784058759676086,9523,113.0,795.0,11270.0,8.0,3400.0,101.8,-8.1,3425.2,0.009553571428571429,0.02613095238095238,0.014404761904761905,0.0065,0.033541666666666664,0.010446428571428572,0.010446428571428572,0.0065,0.04023809523809524
100,62.569871035350694,20437,130.0,629.0,34130.0,20.0,13600.0,63.5,-1.3,6267.1,0.018452380952380953,0.04023809523809524,0.034583333333333334,0.027075,0.03678571428571428,0.02244047619047619,0.024791666666666667,0.0311,0.06883928571428571
100,62.56987166364988,21156,211.0,2320.0,24930.0,10.0,16100.0,64.0,-2.8,3392.0,0.037529761904761906,0.03357142857142857,0.04026785714285714,0.0244,0.03800595238095238,0.03601190476190476,0.03029761904761905,0.023425,0.07324404761904763
100,62.569872251152994,18844,358.0,1002.0,38010.0,10.0,4600.0,46.6,-8.6,2887.2,0.017410714285714286,0.02086309523809524,0.015,0.013375,0.01943452380952381,0.015,0.015,0.017675,0.037529761904761906
100,62.56987297157446,16926,344.0,374.0,32810.0,16.0,5500.0,30.0,-35.2,175.0,0.020029761904761904,0.023065476190476192,0.03226190476190476,0.019525,0.02580357142857143,0.021517857142857144,0.02193452380952381,0.006075,0.05630952380952381
100,62.56987353920937,20094,165.0,1909.0,33550.0,15.0,4400.0,76.5,-8.1,2819.8,0.03127976190476191,0.05991071428571428,0.04401785714285714,0.022275,0.041220238095238095,0.02886904761904762,0.025595238095238095,0.0236,0.09988095238095238
