tpgGen,hoursElapsed,envName,tpgMin,tpgMax,tpgAvg,eliteSize,eliteUid
0,0.06908163117037878,Alien-v0,0.0,263.3333333333333,65.65833333333335,6,366
1,0.12726908723513286,Alien-v0,0.0,263.3333333333333,108.79767827529021,6,366
1,0.27631926344500646,BattleZone-v0,0.0,13000.0,1794.3615257048089,6,78
2,0.4193797082371182,BattleZone-v0,0.0,13666.666666666666,3124.25595238095,6,262
2,0.6749387030469046,BankHeist-v0,0.0,33.333333333333336,0.7142857142857143,6,241
3,0.8589340239100987,BankHeist-v0,0.0,33.333333333333336,1.275167785234899,6,241
3,0.9079465195205476,Alien-v0,0.0,290.0,109.17971662938105,6,936
4,0.9648680186271668,Alien-v0,0.0,303.3333333333333,109.50672645739907,11,1480
4,1.0129410350322723,Atlantis-v0,1500.0,39433.333333333336,2353.886397608371,6,1507
5,1.0614306162463294,Atlantis-v0,1500.0,39766.666666666664,3049.4126284875197,6,2060
5,1.466343149609036,Bowling-v0,0.0,54.666666666666664,1.9273127753303965,16,1658
6,1.7254963380760617,Bowling-v0,0.0,54.666666666666664,3.4947683109118084,16,1658
6,1.8810176766581006,Boxing-v0,-100.0,1.3333333333333333,-51.7548579970105,6,1863
7,2.002059897383054,Boxing-v0,-100.0,1.3333333333333333,-43.68505747126438,6,1863
7,2.0905058078633414,Centipede-v0,156.66666666666666,13231.0,2921.1777777777766,6,715
8,2.168759694364336,Centipede-v0,156.66666666666666,13231.0,4531.790820165541,6,715
8,2.2245074458916982,Asteroids-v0,90.0,3216.6666666666665,203.89014296463495,23,2651
9,2.274716480837928,Asteroids-v0,100.0,3216.6666666666665,291.5178571428572,23,2651
9,2.4493537543217343,BattleZone-v0,0.0,20333.333333333332,3479.1666666666647,6,3093
10,2.570001092619366,BattleZone-v0,0.0,20333.333333333332,4469.135802469134,6,3093
10,2.974436577094926,Bowling-v0,0.0,78.33333333333333,1.8734567901234571,48,3376
11,3.2635338851478366,Bowling-v0,0.0,89.33333333333333,3.5898004434589796,48,3733
11,3.3162501843770347,Atlantis-v0,1500.0,26833.333333333332,2502.956393200296,21,3622
12,3.363064912557602,Atlantis-v0,1500.0,26833.333333333332,3575.9999999999986,21,3622
12,3.448891186118126,Centipede-v0,155.0,13065.333333333334,4026.086666666666,6,4081
13,3.5186244032780327,Centipede-v0,146.0,13802.666666666666,4368.511823035853,25,4220
13,3.650499981443087,BattleZone-v0,0.0,14333.333333333334,3732.265446224254,14,4041
14,3.7621302423874536,BattleZone-v0,0.0,21333.333333333332,5166.666666666667,5,4369
14,4.133699781563547,Bowling-v0,0.0,87.33333333333333,5.155763239875389,48,3880
15,4.405536860757404,Bowling-v0,0.0,95.66666666666667,10.154789272030648,33,4878
15,4.578721945285797,Boxing-v0,-100.0,6.0,-37.38007662835247,6,4890
16,4.7135124462842946,Boxing-v0,-100.0,6.0,-36.2784222737819,6,4890
16,4.772136900689866,Atlantis-v0,1500.0,37400.0,4006.1098221191014,31,5170
17,4.833754608896044,Atlantis-v0,1500.0,41933.333333333336,7396.220710506426,24,5356
17,4.939772478077146,Centipede-v0,149.33333333333334,16774.0,3643.0642479213943,72,5494
18,5.018084492749638,Centipede-v0,160.33333333333334,16774.0,4567.2167042889405,72,5494
18,5.17063410255644,Boxing-v0,-100.0,6.333333333333333,-32.729872084273886,35,5282
19,5.2966141000058915,Boxing-v0,-100.0,6.333333333333333,-29.726591760299616,35,5282
19,5.450172613726722,BattleZone-v0,0.0,16000.0,4414.981273408238,6,4847
20,5.560859345727497,BattleZone-v0,0.0,17333.333333333332,5660.619803476947,10,6125
20,5.62508908894327,Asteroids-v0,90.0,2523.3333333333335,385.8956916099774,27,5597
21,5.678548802998331,Asteroids-v0,90.0,3160.0,580.3163580246913,31,6542
21,5.946395931243896,BankHeist-v0,0.0,26.666666666666668,1.9598765432098781,10,6125
22,6.144962869021628,BankHeist-v0,0.0,43.333333333333336,3.689393939393937,16,6806
22,6.248883264197244,Centipede-v0,160.0,14051.666666666666,3404.604545454545,14,5294
23,6.341032415231069,Centipede-v0,163.66666666666666,14115.333333333334,4757.164383561645,4,7204
23,6.422189522981643,Alien-v0,0.0,646.6666666666666,118.31811263318109,25,6657
24,6.487499912844764,Alien-v0,0.0,646.6666666666666,135.56809631301735,25,6657
24,6.573923720783657,Atlantis-v0,1500.0,53333.333333333336,8426.034612490592,47,7271
25,6.636406189865536,Atlantis-v0,1500.0,53333.333333333336,11638.028169014084,47,7271
25,7.02813982711898,Bowling-v0,0.0,85.0,10.895148669796557,41,7741
26,7.265794262488683,Bowling-v0,0.0,93.33333333333333,20.846805234795994,24,7917
26,7.3736321253909,Centipede-v0,163.33333333333334,14939.666666666666,4015.939183987684,25,5876
27,7.472806702719795,Centipede-v0,159.0,17130.0,5618.195852534563,50,8120
27,7.555644736554887,Atlantis-v0,1500.0,60366.666666666664,11656.451612903222,30,7871
28,7.629031795197063,Atlantis-v0,1500.0,60366.666666666664,15550.076452599382,30,7871
28,7.816231953965293,Boxing-v0,-100.0,8.333333333333334,-29.67354740061161,50,8627
29,7.959718511303266,Boxing-v0,-100.0,10.333333333333334,-25.85125858123571,53,8684
29,8.210211621787813,BankHeist-v0,0.0,43.333333333333336,2.807017543859649,49,8255
30,8.39449312461747,BankHeist-v0,0.0,43.333333333333336,4.489795918367349,49,8255
30,8.46798649556107,Asteroids-v0,80.0,3216.6666666666665,681.7233560090702,23,2651
31,8.525210941235224,Asteroids-v0,100.0,3216.6666666666665,844.4950645406229,23,2651
31,8.831094718376795,Bowling-v0,0.0,94.33333333333333,21.784358390280946,44,9472
32,9.051459292968115,Bowling-v0,0.0,107.66666666666667,28.519519519519527,30,9714
32,9.138589185939894,Alien-v0,0.0,550.0,133.04054054054043,27,9675
33,9.206141853200064,Alien-v0,0.0,550.0,163.89778794813122,27,9675
33,9.4187002985345,BankHeist-v0,0.0,46.666666666666664,4.012204424103736,21,9929
34,9.596778049270313,BankHeist-v0,0.0,53.333333333333336,5.517762660619804,6,10001
34,9.711255787147415,Atlantis-v0,1500.0,51100.0,16007.10506424793,87,9946
35,9.804146686461237,Atlantis-v0,1500.0,54900.0,20034.690799396678,73,10523
35,9.876510218116973,Alien-v0,0.0,663.3333333333334,161.3122171945701,48,10515
36,9.94079263124201,Alien-v0,0.0,663.3333333333334,187.78033794162837,48,10515
36,10.12247396628062,BankHeist-v0,0.0,40.0,5.2457757296467005,171,10308
