tpgGen,hoursElapsed,envName,tpgMin,tpgMax,tpgAvg,eliteSize,eliteUid
0,0.08195697089036305,Boxing-v0,-100.0,-1.6666666666666667,-48.24083333333335,6,357
1,0.1536291593975491,Boxing-v0,-100.0,1.6666666666666667,-36.35577722360766,16,784
1,0.17788162999682955,Atlantis-v0,1500.0,28833.333333333332,1754.0315876974228,15,459
2,0.24890602820449406,Boxing-v0,-100.0,4.666666666666667,-33.38084632516703,5,910
2,0.2725281352467007,Atlantis-v0,1500.0,28833.333333333332,2085.671863400149,15,459
2,0.3070820768011941,Asteroids-v0,100.0,2876.6666666666665,219.22791388270232,6,610
3,0.3655944088432524,Boxing-v0,-100.0,10.0,-33.80593607305935,10,1134
3,0.3839143732521269,Atlantis-v0,1500.0,36000.0,2617.732115677321,16,1240
3,0.4064611665407817,Asteroids-v0,100.0,2876.6666666666665,238.7062404870625,6,610
3,0.5712007309330834,BankHeist-v0,0.0,13.333333333333334,0.33485540334855407,6,921
4,0.5986654422018263,Atlantis-v0,1500.0,39266.666666666664,2904.3577981651374,6,1506
4,0.621100388566653,Asteroids-v0,90.0,2876.6666666666665,292.69877675840974,6,610
4,0.7275138198004829,BankHeist-v0,0.0,23.333333333333332,0.581039755351682,21,1452
4,0.7717477243476444,Centipede-v0,155.0,11740.0,2414.842507645261,6,1557
5,0.7992071441809336,Asteroids-v0,90.0,2876.6666666666665,303.5970695970698,6,610
5,0.8948693921830919,BankHeist-v0,0.0,23.333333333333332,0.8864468864468866,21,1452
5,0.9270288548204634,Centipede-v0,155.0,15906.0,3001.641025641026,5,1886
5,1.0568764673338995,BattleZone-v0,0.0,12666.666666666666,2340.6593406593406,11,1689
6,1.1538533963097466,BankHeist-v0,0.0,26.666666666666668,1.432813659985152,11,1969
6,1.1858113678296407,Centipede-v0,155.0,15906.0,3219.295471417968,5,1886
6,1.266621534758144,BattleZone-v0,0.0,17000.0,2980.6978470675563,10,2156
6,1.3354323406351938,Boxing-v0,-100.0,10.0,-35.917594654788424,10,1134
7,1.3730301832490497,Centipede-v0,155.0,15906.0,3296.327981651377,5,1886
7,1.4420412058962715,BattleZone-v0,0.0,17000.0,3231.65137614679,10,2156
7,1.5006698092487123,Boxing-v0,-100.0,10.0,-34.325688073394495,10,1134
7,1.5231054666307238,Atlantis-v0,1500.0,28833.333333333332,2286.4678899082573,15,459
8,1.5996140633026759,BattleZone-v0,0.0,17000.0,3061.6438356164367,10,2156
8,1.6508152369658153,Boxing-v0,-100.0,10.0,-32.27777777777778,10,1134
8,1.6688490676217609,Atlantis-v0,1500.0,28833.333333333332,2658.219178082192,15,459
8,1.6953424005375968,Asteroids-v0,90.0,2900.0,255.8447488584476,10,2695
9,1.7540003920263714,Boxing-v0,-100.0,10.0,-33.53746177370031,10,1134
9,1.7743503078487184,Atlantis-v0,1500.0,46733.333333333336,3296.636085626912,6,2755
9,1.7971751604477564,Asteroids-v0,100.0,2900.0,307.7140672782877,10,2695
9,1.9113903970850838,BankHeist-v0,0.0,23.333333333333332,1.1926605504587156,6,2407
10,1.9387377795908187,Atlantis-v0,1500.0,46733.333333333336,4053.7324464153758,6,2755
10,1.9622144336832894,Asteroids-v0,100.0,2900.0,361.2342941611233,10,2695
10,2.0470871035257976,BankHeist-v0,0.0,43.333333333333336,2.113821138211382,16,3048
10,2.2536904957559374,Bowling-v0,0.0,30.0,0.0827790096082779,6,825
11,2.282643977271186,Asteroids-v0,90.0,2900.0,425.47456340167037,10,2695
11,2.3671167661084067,BankHeist-v0,0.0,43.333333333333336,2.9309035687167797,16,3048
11,2.5082156151533126,Bowling-v0,0.0,30.0,0.2217160212604404,6,825
11,2.54695742017693,Centipede-v0,155.0,16418.0,2930.261958997722,6,3426
