tpgGen,envGen,frames,envName,tpgMin,tpgMax,tpgAvg,envFit,championSize,totalTeams,totalRootTeams
1,1,500,FishingDerby-v0,-24.0,-4.0,-18.9066666667,0.546346666667,6,751,666
2,1,500,BattleZone-v0,0.0,6000.0,289.78978979,0.103214325437,6,751,637
3,1,500,Boxing-v0,-38.0,2.0,-12.7252747253,0.912918192918,6,751,613
4,1,500,DoubleDunk-v0,-10.0,2.0,-0.437194127243,0.979598412986,11,750,595
5,1,500,Gravitar-v0,0.0,350.0,4.95798319328,0.0206406372073,8,750,591
6,1,500,Frostbite-v0,0.0,80.0,13.4179357022,0.149417183681,6,751,573
7,1,500,Freeway-v0,0.0,5.0,0.17277486911,0.0312119449292,6,750,569
8,1,500,Alien-v0,0.0,140.0,58.1722319859,0.489126406274,6,750,565
9,1,500,BankHeist-v0,0.0,20.0,0.601769911504,0.0424778761062,6,751,572
10,1,500,BankHeist-v0,0.0,20.0,0.716783216783,0.0559440559441,6,750,579
11,1,500,Freeway-v0,0.0,5.0,0.0777202072539,0.013816925734,6,750,582
12,1,500,BattleZone-v0,0.0,5000.0,462.199312715,0.192134402444,6,750,577
13,1,500,Frostbite-v0,0.0,80.0,24.3327556326,0.271519352975,6,751,575
14,1,500,Alien-v0,0.0,140.0,95.4434782609,0.712436162871,6,750,556
15,1,500,Gravitar-v0,0.0,250.0,2.87769784173,0.0109992006395,11,750,567
16,1,500,DoubleDunk-v0,-6.0,2.0,-0.271604938272,0.974720752499,11,750,577
17,1,500,FishingDerby-v0,-24.0,-4.0,-18.9618717504,0.537500481417,6,750,556
18,1,500,Boxing-v0,-46.0,4.0,-13.0881294964,0.928920863309,11,751,548
19,1,500,Freeway-v0,0.0,5.0,0.0547445255474,0.00973236009732,6,750,537
20,1,500,BattleZone-v0,0.0,5000.0,746.741154562,0.290337264639,6,750,542
21,1,500,BankHeist-v0,0.0,20.0,0.867158671587,0.0623206232062,6,750,542
22,1,500,Boxing-v0,-38.0,5.0,-11.8099630996,0.919247375275,11,750,551
23,1,500,Frostbite-v0,0.0,140.0,32.1234119782,0.376672387043,11,751,546
24,1,500,FishingDerby-v0,-24.0,-12.0,-18.8846153846,0.769208158097,6,750,536
25,1,500,Alien-v0,0.0,270.0,103.843283582,0.687868385553,5,751,548
26,1,500,Gravitar-v0,0.0,350.0,5.83941605839,0.0234371120711,10,750,543
27,1,500,DoubleDunk-v0,-10.0,2.0,-0.243093922652,0.982925221108,49,750,553
28,1,500,Freeway-v0,0.0,5.0,0.0614828209765,0.0114446453687,15,751,557
29,1,500,Frostbite-v0,0.0,140.0,52.6750448833,0.61866901159,11,750,556
30,1,500,Boxing-v0,-38.0,11.0,-12.5809352518,0.854075922935,10,750,551
31,1,500,Gravitar-v0,0.0,250.0,3.99274047187,0.0196168582375,15,751,548
