tpgGen,envGen,frames,envName,tpgMin,tpgMax,tpgAvg,envFit,championSize,totalTeams,totalRootTeams
1,1,200,Bowling-v0,0.0,0.0,0.0,0.0,5,750,664
2,1,200,DoubleDunk-v0,-4.0,0.0,-0.25,0.887884872825,5,751,630
3,1,200,Alien-v0,0.0,140.0,59.9047619048,0.53157686355,4,751,616
4,1,200,BankHeist-v0,0.0,10.0,0.113636363636,0.010101010101,4,751,607
5,1,200,Asteroids-v0,0.0,310.0,25.7495881384,0.180800439167,11,750,601
6,1,200,Hero-v0,0.0,0.0,0.0,0.0,5,750,597
7,1,200,BattleZone-v0,0.0,1000.0,68.6767169179,0.0610459705937,6,751,599
8,1,200,FishingDerby-v0,-6.0,6.0,-5.97662771285,0.00214349017911,15,751,595
9,1,200,ChopperCommand-v0,0.0,600.0,80.3361344538,0.272891378774,6,751,590
10,1,200,Gravitar-v0,0.0,0.0,0.0,0.0,5,751,580
11,1,200,Boxing-v0,-19.0,2.0,-2.81896551724,0.929399397051,11,751,577
12,1,200,Freeway-v0,0.0,2.0,0.159445407279,0.0708646254573,6,751,580
13,1,200,Boxing-v0,-19.0,3.0,-1.34137931034,0.953662011969,6,750,574
14,1,200,BankHeist-v0,0.0,10.0,0.0174216027875,0.00154858691444,4,750,565
15,1,200,FishingDerby-v0,-6.0,-4.0,-5.98938053097,0.0047197640118,13,750,560
16,1,200,DoubleDunk-v0,-3.0,2.0,-0.15,0.921650793651,4,750,557
17,1,200,Bowling-v0,0.0,0.0,0.0,0.0,4,751,567
18,1,200,BattleZone-v0,0.0,1000.0,38.8007054674,0.034489515971,6,751,569
19,1,200,Alien-v0,0.0,140.0,67.7504393673,0.61263544668,6,750,560
20,1,200,ChopperCommand-v0,0.0,300.0,112.142857143,0.562962962963,5,750,545
21,1,200,Freeway-v0,0.0,2.0,0.0403669724771,0.0179408766565,6,751,567
22,1,200,Asteroids-v0,0.0,260.0,25.5731922399,0.206241368635,11,751,547
23,1,200,Hero-v0,0.0,0.0,0.0,0.0,4,750,555
24,1,200,Gravitar-v0,0.0,0.0,0.0,0.0,4,751,552
25,1,200,Gravitar-v0,0.0,0.0,0.0,0.0,4,751,561
26,1,200,BattleZone-v0,0.0,1000.0,58.8235294118,0.0522875816993,6,751,551
27,1,200,DoubleDunk-v0,-2.0,2.0,-0.150635208711,0.817301875378,4,750,543
28,1,200,BankHeist-v0,0.0,0.0,0.0,0.0,4,750,541
29,1,200,ChopperCommand-v0,0.0,300.0,117.005545287,0.580361014126,5,751,534
30,1,200,Bowling-v0,0.0,0.0,0.0,0.0,4,750,518
31,1,200,FishingDerby-v0,-6.0,6.0,-5.88803088803,0.0156346823013,6,750,522
32,1,200,Boxing-v0,-19.0,0.0,-1.32567049808,0.88073783976,3,751,534
33,1,200,Alien-v0,0.0,140.0,77.9775280899,0.692637604355,6,750,523
34,1,200,Hero-v0,0.0,0.0,0.0,0.0,4,750,511
35,1,200,Freeway-v0,0.0,2.0,0.0352250489237,0.0156555772994,6,750,519
36,1,200,Asteroids-v0,0.0,360.0,31.9460500963,0.192746946618,10,750,518
37,1,200,Bowling-v0,0.0,0.0,0.0,0.0,4,751,519
38,1,200,Asteroids-v0,0.0,330.0,41.9075144509,0.267292138606,8,750,507
39,1,200,FishingDerby-v0,-6.0,-4.0,-5.9842209073,0.00701293008985,13,750,519
40,1,200,ChopperCommand-v0,0.0,400.0,126.204238921,0.567972596874,21,751,523
41,1,200,BankHeist-v0,0.0,0.0,0.0,0.0,5,751,525
42,1,200,Gravitar-v0,0.0,100.0,0.190476190476,0.00169312169312,6,751,515
43,1,200,Freeway-v0,0.0,3.0,0.13786407767,0.0669303607815,7,751,514
44,1,200,Hero-v0,0.0,0.0,0.0,0.0,4,750,527
45,1,200,BattleZone-v0,0.0,1000.0,18.9753320683,0.0168669618385,21,751,539
46,1,200,Boxing-v0,-19.0,0.0,-1.46382189239,0.887066150224,5,751,520
47,1,200,DoubleDunk-v0,-2.0,2.0,-0.0846153846154,0.847863247863,19,750,527
48,1,200,Alien-v0,0.0,140.0,75.1423149905,0.669962608699,6,750,526
49,1,200,Alien-v0,0.0,140.0,99.4296577947,0.831742582965,6,751,531
50,1,200,Boxing-v0,-19.0,1.0,-1.44444444444,0.90435655995,11,751,525
51,1,200,FishingDerby-v0,-6.0,-4.0,-5.96571428571,0.0152380952381,13,751,520
52,1,200,Freeway-v0,0.0,2.0,0.0711538461538,0.0324786324786,19,751,520
53,1,200,Asteroids-v0,0.0,380.0,38.0769230769,0.214399696948,8,750,520
54,1,200,ChopperCommand-v0,0.0,400.0,126.346153846,0.582264957265,6,750,510
55,1,200,BankHeist-v0,0.0,10.0,0.0196078431373,0.00174291938998,11,751,511
56,1,200,Bowling-v0,0.0,0.0,0.0,0.0,3,750,506
57,1,200,BattleZone-v0,0.0,1000.0,25.6916996047,0.0228370663153,6,750,512
58,1,200,Gravitar-v0,0.0,0.0,0.0,0.0,4,750,491
59,1,200,DoubleDunk-v0,-4.0,2.0,-0.175152749491,0.959895401172,4,751,499
60,1,200,Hero-v0,0.0,0.0,0.0,0.0,4,750,501
61,2,200,Asteroids-v0,0.0,380.0,53.9720558882,0.288304892216,8,751,508
62,2,200,Centipede-v0,0.0,2232.0,154.86023622,0.152420168435,25,751,506
