tpgGen,hoursElapsed,env,fitMin,fitMax,fitAvg,champSize,champUid,totalTeams,totalRootTeams
1,0.22282374726401435,Boxing-v0,-100.0,2.3333333333333335,-45.22166666666667,6,45,228,200
2,0.35571495049529606,Boxing-v0,-100.0,2.3333333333333335,-38.83666666666666,6,45,248,212
3,0.48899698250823553,Boxing-v0,-100.0,2.3333333333333335,-34.33962264150943,6,45,252,214
4,0.6300473160876168,Boxing-v0,-100.0,2.3333333333333335,-30.869158878504663,6,45,257,217
5,0.7710697444942263,Boxing-v0,-100.0,12.333333333333334,-29.491551459293383,9,469,270,220
6,0.9184098839097553,Boxing-v0,-100.0,12.333333333333334,-29.569696969696963,9,469,270,219
7,1.0607878480354944,Boxing-v0,-100.0,12.333333333333334,-30.001522070015213,9,469,266,219
8,1.1903616455528472,Boxing-v0,-100.0,12.333333333333334,-26.619482496194806,9,469,278,216
9,1.3531455430057313,Boxing-v0,-100.0,22.666666666666668,-26.40740740740739,11,1049,282,226
10,1.4921471183829838,Boxing-v0,-100.0,22.666666666666668,-23.69469026548672,11,1049,271,216
11,1.6317888165844812,Boxing-v0,-100.0,22.666666666666668,-23.223765432098773,11,1049,267,208
12,1.7822873795694776,Boxing-v0,-100.0,22.666666666666668,-20.450320512820515,11,1049,271,217
13,1.93650479124652,Boxing-v0,-100.0,22.666666666666668,-17.36098310291859,11,1049,270,214
14,2.0949676003721027,Boxing-v0,-100.0,22.666666666666668,-15.37694704049844,11,1049,271,213
15,2.287757631407844,Boxing-v0,-100.0,22.666666666666668,-11.558685446009388,11,1049,278,219
16,2.4829386444886525,Boxing-v0,-100.0,22.666666666666668,-7.820395738203954,11,1049,274,213
17,2.667794802851147,Boxing-v0,-100.0,22.666666666666668,-4.596244131455401,11,1049,285,214
18,2.8757091981834835,Boxing-v0,-100.0,22.666666666666668,-1.2772585669781928,11,1049,292,213
19,3.093545916080475,Boxing-v0,-100.0,24.333333333333332,1.7699530516431936,14,2214,293,220
20,3.292204948266347,Boxing-v0,-100.0,24.333333333333332,2.633333333333333,14,2214,293,216
21,3.499209908114539,Boxing-v0,-100.0,24.333333333333332,4.296296296296295,14,2214,295,213
22,3.718634634017944,Boxing-v0,-100.0,24.333333333333332,2.566510172143975,14,2214,300,219
23,3.9317396614286633,Boxing-v0,-100.0,24.333333333333332,4.538812785388131,14,2214,294,220
24,4.147985321415796,Boxing-v0,-100.0,24.333333333333332,5.178787878787885,14,2214,292,218
25,4.359467904369036,Boxing-v0,-100.0,24.333333333333332,3.0825688073394506,14,2214,291,221
26,4.556902580658595,Boxing-v0,-52.333333333333336,24.333333333333332,6.585218702865764,14,2214,280,217
27,4.760169081091881,Boxing-v0,-100.0,25.666666666666668,6.517665130568356,18,3081,285,211
28,4.972252700196372,Boxing-v0,-54.0,25.666666666666668,4.167456556082151,18,3081,299,226
29,5.224645005000962,Boxing-v0,-100.0,25.666666666666668,5.758112094395277,18,3081,290,222
30,5.429144372741382,Boxing-v0,-54.0,25.666666666666668,7.52252252252252,18,3081,281,223
31,5.626080106563038,Boxing-v0,-54.0,25.666666666666668,7.9402092675635245,18,3081,283,214
32,5.836096788711018,Boxing-v0,-100.0,31.0,5.607476635514015,24,3603,298,225
33,6.055525310966703,Boxing-v0,-100.0,31.0,5.346666666666667,24,3603,299,223
34,6.282926514016258,Boxing-v0,-100.0,31.0,7.1390134529148,24,3603,295,229
35,6.498298746943473,Boxing-v0,-100.0,31.0,5.524017467248904,24,3603,284,222
36,6.701798458165593,Boxing-v0,-100.0,31.0,6.381381381381382,24,3603,285,220
37,6.925583653383785,Boxing-v0,-100.0,31.0,6.67575757575757,24,3603,277,221
38,7.119471919139226,Boxing-v0,-100.0,31.0,6.924585218702864,24,3603,280,214
39,7.344278277556102,Boxing-v0,-43.666666666666664,31.0,7.975077881619936,24,3603,285,225
40,7.591153209540579,Boxing-v0,-50.333333333333336,31.0,9.294814814814812,24,3603,270,221
41,7.78762868742148,Boxing-v0,-100.0,31.0,6.214177978883857,24,3603,279,211
42,7.994929616186354,Boxing-v0,-56.666666666666664,31.0,6.67772511848341,24,3603,293,223
43,8.241501025888654,Boxing-v0,-100.0,31.0,7.0,24,3603,291,225
44,8.454874762296676,Boxing-v0,-100.0,31.0,6.050370370370372,24,3603,286,224
45,8.67191308385796,Boxing-v0,-100.0,31.0,7.488095238095241,24,3603,282,221
46,8.873865723676152,Boxing-v0,-100.0,31.0,7.242835595776765,24,3603,275,215
47,9.06414063182142,Boxing-v0,-100.0,31.0,6.1860465116279055,24,3603,287,217
48,9.281849044826295,Boxing-v0,-100.0,31.0,6.03686635944701,24,3603,310,226
49,9.521897923151652,Boxing-v0,-100.0,31.666666666666668,5.283185840707963,13,5353,299,230
50,9.750554302334786,Boxing-v0,-100.0,31.666666666666668,7.913043478260867,13,5353,286,219
51,9.958082160552342,Boxing-v0,-100.0,31.666666666666668,6.666666666666662,13,5353,294,223
52,10.181480069822735,Boxing-v0,-100.0,31.666666666666668,8.248131539611354,13,5353,288,220
53,10.409817410839928,Boxing-v0,-100.0,31.666666666666668,8.313636363636364,13,5353,288,218
54,10.62767204006513,Boxing-v0,-100.0,31.666666666666668,5.967889908256882,13,5353,281,225
55,10.829397591220008,Boxing-v0,-54.0,31.666666666666668,7.918518518518517,13,5353,286,214
56,11.06178274134795,Boxing-v0,-100.0,31.666666666666668,7.9003115264797525,13,5353,293,226
57,11.26982619980971,Boxing-v0,-72.66666666666667,31.666666666666668,9.294985250737465,13,5353,284,218
58,11.474926656749513,Boxing-v0,-100.0,31.666666666666668,7.706422018348625,13,5353,287,222
59,11.708228034906917,Boxing-v0,-100.0,31.666666666666668,7.588588588588588,13,5353,284,217
60,11.910365000830756,Boxing-v0,-100.0,33.666666666666664,9.643625192012294,21,6675,287,217
61,12.13944654305776,Boxing-v0,-100.0,33.666666666666664,10.625192012288782,21,6675,290,220
62,12.358011531631151,Boxing-v0,-100.0,33.666666666666664,8.743939393939396,21,6675,286,221
63,12.555450165205531,Boxing-v0,-100.0,33.666666666666664,8.21417797888386,21,6675,285,220
64,12.783438776665264,Boxing-v0,-100.0,33.666666666666664,8.939393939393945,21,6675,279,218
65,12.990598687529564,Boxing-v0,-100.0,33.666666666666664,10.246177370030582,21,6675,284,217
66,13.21249314374394,Boxing-v0,-100.0,33.666666666666664,7.242703533026121,21,6675,289,221
67,13.430720415380266,Boxing-v0,-100.0,33.666666666666664,8.959276018099551,21,6675,288,225
68,13.646986277103425,Boxing-v0,-100.0,33.666666666666664,9.502222222222231,21,6675,289,216
69,13.873777810268932,Boxing-v0,-100.0,33.666666666666664,7.942901234567904,21,6675,291,225
70,14.096141250729561,Boxing-v0,-100.0,33.666666666666664,9.703703703703699,21,6675,288,221
71,14.315613965524568,Boxing-v0,-100.0,33.666666666666664,8.610859728506782,21,6675,287,222
72,14.554813751710785,Boxing-v0,-100.0,33.666666666666664,10.702702702702695,21,6675,280,218
73,14.754935374392403,Boxing-v0,-54.0,33.666666666666664,10.018348623853207,21,6675,281,220
74,14.975420041216744,Boxing-v0,-100.0,33.666666666666664,10.10757575757576,21,6675,283,214
75,15.179742140173913,Boxing-v0,-100.0,33.666666666666664,10.390965732087224,21,6675,292,221
76,15.429585470159848,Boxing-v0,-54.0,33.666666666666664,12.336349924585214,21,6675,289,220
77,15.643504994908968,Boxing-v0,-54.0,33.666666666666664,10.675757575757572,21,6675,289,219
78,15.86865020427439,Boxing-v0,-54.0,35.666666666666664,12.532724505327238,24,8680,289,221
79,16.101741877529356,Boxing-v0,-100.0,35.666666666666664,10.960784313725487,24,8680,290,221
80,16.30637377758821,Boxing-v0,-59.0,35.666666666666664,13.057315233785816,24,8680,289,220
81,16.530392590761185,Boxing-v0,-100.0,35.666666666666664,10.659090909090917,24,8680,279,215
82,16.737891803251372,Boxing-v0,-97.33333333333333,35.666666666666664,10.765891472868223,24,8680,283,216
83,16.941651006738343,Boxing-v0,-100.0,35.666666666666664,11.095679012345682,24,8680,293,217
84,17.170544516510432,Boxing-v0,-100.0,37.666666666666664,10.159754224270353,16,9376,290,218
85,17.369591144853167,Boxing-v0,-100.0,37.666666666666664,8.741590214067276,16,9376,287,217
86,17.577836853398217,Boxing-v0,-100.0,37.666666666666664,9.761904761904768,16,9376,288,217
87,17.784652178287505,Boxing-v0,-100.0,37.666666666666664,10.192012288786497,16,9376,289,219
88,18.008248955077594,Boxing-v0,-100.0,37.666666666666664,11.82496194824962,16,9376,287,216
89,18.225246603356467,Boxing-v0,-100.0,37.666666666666664,11.700617283950614,16,9376,283,216
90,18.426654648979504,Boxing-v0,-54.0,37.666666666666664,12.320987654320994,16,9376,289,214
91,18.650363123549354,Boxing-v0,-98.66666666666667,37.666666666666664,10.084112149532698,16,9376,300,220
92,18.881174403429032,Boxing-v0,-100.0,37.666666666666664,10.924242424242427,16,9376,308,222
93,19.104736119243835,Boxing-v0,-100.0,37.666666666666664,10.938438438438439,16,9376,299,225
94,19.339731443921725,Boxing-v0,-100.0,37.666666666666664,11.542222222222216,16,9376,286,215
95,19.53899217757914,Boxing-v0,-100.0,37.666666666666664,11.19844961240309,16,9376,292,213
96,19.763837244245742,Boxing-v0,-100.0,37.666666666666664,9.773082942097023,16,9376,305,225
97,19.99768701242076,Boxing-v0,-54.0,37.666666666666664,13.709629629629621,16,9376,294,224
98,20.221134434011248,Boxing-v0,-100.0,37.666666666666664,12.038690476190476,16,9376,276,214
99,20.407586155997382,Boxing-v0,-100.0,37.666666666666664,14.043613707165095,16,9376,279,212
100,20.626665320595105,Boxing-v0,-100.0,37.666666666666664,13.292452830188683,16,9376,291,216
101,20.865458606415324,Boxing-v0,-100.0,37.666666666666664,13.708333333333341,16,9376,289,222
102,21.107148342794844,Boxing-v0,-54.0,37.666666666666664,14.531531531531519,16,9376,292,218
