tpgGen,envGen,frames,envName,tpgMin,tpgMax,tpgAvg,envFit,championSize
1,1,200,TimePilot-v0,0.0,200.0,15.2777777778,0.133333333333,3
2,1,200,Alien-v0,0.0,140.0,66.975308642,0.552616108172,6
3,1,200,MsPacman-v0,50.0,160.0,63.0618892508,0.275159052772,3
4,1,200,Zaxxon-v0,0.0,0.0,0.0,0.0,6
5,1,200,Kangaroo-v0,0.0,0.0,0.0,0.0,4
6,1,200,DoubleDunk-v0,-2.0,0.0,-0.0805860805861,0.853072853073,3
7,1,200,Hero-v0,0.0,0.0,0.0,0.0,3
8,1,200,RoadRunner-v0,0.0,200.0,45.2898550725,0.206119162641,6
9,1,200,Bowling-v0,0.0,0.0,0.0,0.0,4
10,1,200,Hero-v0,0.0,0.0,0.0,0.0,4
11,1,200,Kangaroo-v0,0.0,0.0,0.0,0.0,4
12,1,200,TimePilot-v0,0.0,100.0,14.2335766423,0.126520681265,3
13,1,200,RoadRunner-v0,0.0,300.0,46.2121212121,0.231200897868,9
14,1,200,Zaxxon-v0,0.0,0.0,0.0,0.0,6
15,1,200,Alien-v0,0.0,140.0,76.5055762082,0.625884058704,3
16,1,200,MsPacman-v0,50.0,160.0,65.7915057915,0.29801702529,6
17,1,200,Bowling-v0,0.0,0.0,0.0,0.0,6
18,1,200,DoubleDunk-v0,-2.0,0.0,-0.0866141732283,0.850393700787,6
19,1,200,RoadRunner-v0,0.0,200.0,68.9516129032,0.318996415771,4
20,1,200,Zaxxon-v0,0.0,0.0,0.0,0.0,6
21,1,200,Bowling-v0,0.0,0.0,0.0,0.0,6
22,1,200,Alien-v0,0.0,180.0,91.9305019305,0.752879863991,7
23,1,200,DoubleDunk-v0,-2.0,0.0,-0.183908045977,0.807151979566,3
24,1,200,Kangaroo-v0,0.0,0.0,0.0,0.0,6
25,1,200,MsPacman-v0,50.0,160.0,64.6923076923,0.310178710179,6
26,1,200,Hero-v0,0.0,0.0,0.0,0.0,6
27,1,200,TimePilot-v0,0.0,100.0,9.80392156863,0.0871459694989,11
28,1,200,Kangaroo-v0,0.0,0.0,0.0,0.0,6
29,1,200,Bowling-v0,0.0,0.0,0.0,0.0,6
30,1,200,RoadRunner-v0,0.0,200.0,82.1292775665,0.378538234052,6
31,1,200,Alien-v0,0.0,140.0,74.531835206,0.683227598155,6
32,1,200,Zaxxon-v0,0.0,0.0,0.0,0.0,6
33,1,200,MsPacman-v0,50.0,80.0,64.5275590551,0.816175755808,16
34,1,200,DoubleDunk-v0,-4.0,0.0,-0.102362204724,0.884514435696,6
35,1,200,TimePilot-v0,0.0,100.0,4.72440944882,0.0419947506562,4
36,1,200,Hero-v0,0.0,0.0,0.0,0.0,6
37,1,200,RoadRunner-v0,0.0,200.0,90.9090909091,0.427609427609,6
38,1,200,DoubleDunk-v0,-2.0,0.0,-0.0637450199203,0.860557768924,6
39,1,200,Alien-v0,0.0,140.0,79.4071146245,0.787000439174,6
40,1,200,Bowling-v0,0.0,0.0,0.0,0.0,6
41,1,200,Hero-v0,0.0,0.0,0.0,0.0,6
42,1,200,Zaxxon-v0,0.0,0.0,0.0,0.0,6
43,1,200,TimePilot-v0,0.0,100.0,4.78087649402,0.0424966799469,6
44,1,200,MsPacman-v0,50.0,180.0,67.7822580645,0.299060465314,40
45,1,200,Kangaroo-v0,0.0,0.0,0.0,0.0,6
46,2,200,Jamesbond-v0,0.0,50.0,0.2,0.00355555555556,10
47,2,200,Venture-v0,0.0,0.0,0.0,0.0,6
48,2,200,DoubleDunk-v0,-2.0,0.0,-0.133858267717,0.829396325459,6
49,2,200,Alien-v0,0.0,140.0,90.3137254902,0.784811702459,6
50,2,200,RoadRunner-v0,0.0,200.0,92.0948616601,0.425120772947,6
51,2,200,TimePilot-v0,0.0,100.0,5.49019607843,0.0488017429194,6
52,2,200,Hero-v0,0.0,0.0,0.0,0.0,6
53,2,200,Frostbite-v0,0.0,40.0,4.54183266932,0.102700309872,5
