tpgGen,envGen,frames,envName,tpgMin,tpgMax,tpgAvg,envFit,championSize,totalTeams,totalRootTeams
1,1,200,UpNDown-v0,10.0,1530.0,76.7733333333,0.102542936288,3,751,668
2,1,200,Krull-v0,0.0,0.0,0.0,0.0,3,751,645
3,1,200,PrivateEye-v0,-438.0,0.0,-74.9147286822,0.877965888197,5,751,619
4,1,200,Gravitar-v0,0.0,0.0,0.0,0.0,3,750,603
5,1,200,Alien-v0,0.0,140.0,57.1144278607,0.456342625497,5,751,591
6,1,200,DoubleDunk-v0,-4.0,0.0,-0.135363790186,0.885880804663,5,750,593
7,1,200,FishingDerby-v0,-6.0,0.0,-5.97639123103,0.00416380405138,13,751,592
8,1,200,Hero-v0,0.0,0.0,0.0,0.0,3,750,580
9,1,200,Freeway-v0,0.0,2.0,0.0189655172414,0.00919540229885,6,751,571
10,1,200,MsPacman-v0,50.0,160.0,65.8318739054,0.294104876178,5,751,561
11,1,200,BattleZone-v0,0.0,1000.0,87.3440285205,0.0776391364627,5,751,570
12,1,200,Centipede-v0,0.0,2020.0,283.829824561,0.285206237282,41,751,560
13,1,200,TimePilot-v0,0.0,100.0,11.25,0.1,5,751,558
14,1,200,KungFuMaster-v0,0.0,0.0,0.0,0.0,3,751,547
15,1,200,Asteroids-v0,0.0,260.0,27.6599634369,0.220061130763,14,751,543
16,1,200,Zaxxon-v0,0.0,0.0,0.0,0.0,3,750,537
17,1,200,RoadRunner-v0,0.0,200.0,39.47858473,0.182081522864,13,751,544
18,1,200,Boxing-v0,-19.0,0.0,-2.74080882353,0.884611554687,3,751,539
19,1,200,Tennis-v0,-2.0,0.0,-1.17625231911,0.408987837559,4,750,539
20,1,200,Skiing-v0,-1058.0,-935.0,-999.083487941,0.826109666992,11,751,520
21,1,200,Atlantis-v0,0.0,400.0,14.8076923077,0.0467948717949,6,751,515
22,1,200,ChopperCommand-v0,0.0,600.0,110.097087379,0.349418674338,3,751,527
23,1,200,Bowling-v0,0.0,0.0,0.0,0.0,3,751,530
24,1,200,Jamesbond-v0,0.0,50.0,0.283018867925,0.00503144654088,24,750,543
25,1,200,Frostbite-v0,0.0,80.0,9.30018416206,0.206619603028,6,750,531
26,1,200,BankHeist-v0,0.0,30.0,0.15065913371,0.00818395294227,25,750,520
