tpgGen,hoursElapsed,envs,fitMin,fitMax,fitAvg,champSize,champUid,totalTeams,totalRootTeams
1,0.07876487546496921,Alien-v0,0.0,1,0.24933544303797514,6,366,496,402
2,0.28361814591619705,Alien-v0/BattleZone-v0,0.0,0.5316455696202532,0.1109326783802507,6,78,549,448
3,0.6820988240506914,BankHeist-v0/BattleZone-v0,0.0,0.4634146341463415,0.011117160278745649,6,262,561,447
4,0.9162342305315866,Alien-v0/BankHeist-v0,0.0,0.4827586206896552,0.03152819563372676,6,241,562,446
5,1.0208351140552097,Alien-v0/Atlantis-v0,0.0,0.46153846153846156,0.015984500183039037,6,1507,577,454
6,1.4728309496243794,Atlantis-v0/Bowling-v0,0.0,0.6080139372822301,0.002808945647669189,16,1658,561,446
7,1.8883057524760565,Bowling-v0/Boxing-v0,0.0,0.5670731707317074,0.04796720384303204,16,1658,569,435
8,2.098127419816123,Boxing-v0/Centipede-v0,0.0,0.9003900772505927,0.184278313129084,5,2453,591,443
9,2.231405896676911,Asteroids-v0/Centipede-v0,0.0,0.48927924941998313,0.02653648373708281,23,2651,592,448
10,2.456511844727728,Asteroids-v0/BattleZone-v0,0.0,0.35294117647058826,0.03318044058159782,23,2651,597,432
11,2.9811176283491982,BattleZone-v0/Bowling-v0,0.0,0.7377049180327869,0.008411005180276196,48,3376,609,451
12,3.3226021704408857,Atlantis-v0/Bowling-v0,0.0,0.40394736842105267,0.004551158898006176,21,3622,594,450
13,3.4551855915784837,Atlantis-v0/Centipede-v0,0.0,0.5443701427796855,0.0316513737503588,14,3901,582,437
14,3.656930505964491,BattleZone-v0/Centipede-v0,0.0,0.8604651162790697,0.16400558891144956,15,3641,585,428
15,4.140019335481855,BattleZone-v0/Bowling-v0,0.0,0.515625,0.026077709210244705,19,4148,604,435
16,4.584670759240786,Bowling-v0/Boxing-v0,0.0,0.881533101045296,0.0958453387861325,24,4846,603,431
17,4.777818161646525,Atlantis-v0/Boxing-v0,0.0,0.7938718662952646,0.0659138023871398,16,5101,611,441
18,4.944698228504922,Atlantis-v0/Centipede-v0,0.0,0.6636438582028029,0.052420103176458226,10,4363,611,443
19,5.176003061532974,Boxing-v0/Centipede-v0,0.0,0.9184952978056428,0.247767606757372,25,5667,608,445
20,5.455332959161864,BattleZone-v0/Boxing-v0,0.0,0.9153605015673981,0.265372535897526,6,4847,594,441
21,5.630265909234683,Asteroids-v0/BattleZone-v0,0.0,0.7465753424657534,0.08604104093340895,27,5597,590,432
22,5.9516453190644585,Asteroids-v0/BankHeist-v0,0.0,0.40933767643865365,0.04304619324807977,10,6125,591,440
23,6.254700748125712,BankHeist-v0/Centipede-v0,0.0,0.6153846153846154,0.04234764935124865,19,5294,594,438
24,6.427664895190133,Alien-v0/Centipede-v0,0.0,0.7177159240234141,0.13448021326881726,25,6657,603,443
25,6.578471826844745,Alien-v0/Atlantis-v0,0.0,0.4278350515463918,0.08708014475626694,46,6534,584,426
26,7.032942727605501,Atlantis-v0/Bowling-v0,0.0,0.5254901960784314,0.05284148410205676,17,6766,586,433
27,7.3785711254676185,Bowling-v0/Centipede-v0,0.0,0.8135306458526022,0.09376654565281146,31,7556,602,434
28,7.559914546542697,Atlantis-v0/Centipede-v0,0.0,0.6987542468856173,0.10982992324459097,63,7709,602,436
29,7.821228729950057,Atlantis-v0/Boxing-v0,0.0,0.9046153846153847,0.2210823394295605,25,8582,615,437
30,8.215198348429468,BankHeist-v0/Boxing-v0,0.0,0.6153846153846154,0.06309950324689645,49,8255,624,441
31,8.472729258139928,Asteroids-v0/BankHeist-v0,0.0,0.4558979808714134,0.05832500579729963,15,9149,622,439
32,8.83497133400705,Asteroids-v0/Bowling-v0,0.0,0.7465240641711229,0.13018110675908,44,9472,613,444
33,9.142796054681142,Alien-v0/Bowling-v0,0.0,0.5272727272727272,0.15448282507106048,44,9472,603,437
34,9.423123727440833,Alien-v0/BankHeist-v0,0.0,0.5,0.07342367777150392,14,10030,617,441
35,9.715505363874966,Atlantis-v0/BankHeist-v0,0.0,0.6028225806451613,0.07319630361105016,83,9946,610,442
36,9.880371895564927,Alien-v0/Atlantis-v0,0.0,0.6273408239700374,0.18112334513075826,27,9675,591,434
37,10.126453566948573,Alien-v0/BankHeist-v0,0.0,0.4472361809045226,0.09892106461647727,171,10308,592,423
38,10.407318143579696,BankHeist-v0/Centipede-v0,0.0,0.5976450620557971,0.11255554794868088,171,10308,610,439
39,10.595567445556323,Asteroids-v0/Centipede-v0,0.0,0.6535184400169564,0.18333606071872977,112,11328,615,439
40,10.819721777174207,Asteroids-v0/BankHeist-v0,0.0,0.6279306829765546,0.09779530573244394,68,11498,620,444
41,11.110110901792844,BankHeist-v0/BattleZone-v0,0.0,0.5961538461538463,0.10519379269379277,97,10994,617,441
42,11.314103260768784,Asteroids-v0/BattleZone-v0,0.0,0.6169244767970883,0.13730040090042692,37,11865,609,430
43,11.69820414384206,Asteroids-v0/Bowling-v0,0.0,0.7551867219917012,0.15328748256471905,64,11570,608,428
44,12.046731547382143,Bowling-v0/Centipede-v0,0.0,0.8070739549839229,0.25479877827798275,172,12054,621,430
45,12.284171337286631,Atlantis-v0/Centipede-v0,0.0,0.6695601851851851,0.18982018585126298,74,12820,625,438
46,12.474032396607928,Alien-v0/Atlantis-v0,0.0,0.7412209616423555,0.2576216857548145,89,13387,628,435
47,12.733442545202044,Alien-v0/BankHeist-v0,0.0,0.6991150442477875,0.11125716923702884,103,13452,615,430
48,12.988780014117559,Atlantis-v0/BankHeist-v0,0.0,0.6153846153846154,0.11659026837497315,103,13452,625,432
49,13.264054459399647,Atlantis-v0/BattleZone-v0,0.0,0.6553214478660184,0.1445032984403595,89,13387,614,431
50,13.565021780663066,BankHeist-v0/BattleZone-v0,0.0,0.5,0.07882760175469915,112,14318,625,438
51,14.082615413798226,BankHeist-v0/Bowling-v0,0.0,0.6833333333333332,0.09777817832251871,181,14341,623,429
52,14.370957575771543,Alien-v0/Bowling-v0,0.0,0.7522123893805309,0.37694990657668614,36,12993,630,427
53,14.577580372360018,Alien-v0/Atlantis-v0,0.0,0.8495575221238938,0.27480353790069395,106,15144,644,436
54,14.925957394573423,Atlantis-v0/Bowling-v0,0.0,0.728658536585366,0.25781707572936063,95,15629,640,431
55,15.315853492154016,Bowling-v0/Boxing-v0,0.0,0.9369085173501577,0.453205804052229,116,15641,653,442
56,15.651772611803478,BankHeist-v0/Boxing-v0,0.0,0.9274447949526814,0.153247740027077,89,15801,650,444
57,15.894170352684126,Alien-v0/BankHeist-v0,0.0,0.7222222222222222,0.1471786672168354,89,15801,638,432
58,16.23921361890104,Alien-v0/Bowling-v0,0.0,0.7103658536585367,0.3237750789562604,52,16465,632,434
59,16.57884745279948,Atlantis-v0/Bowling-v0,0.0,0.7713414634146342,0.21224659486854602,115,15696,622,426
60,16.818230744335388,Atlantis-v0/Centipede-v0,0.0,0.8137472283813747,0.2607619625507573,95,17102,635,423
61,17.0150116247601,Asteroids-v0/Centipede-v0,0.0,0.6255980062748937,0.25531119968255506,169,17069,650,435
62,17.289478017290435,Asteroids-v0/Boxing-v0,0.0,0.9943502824858756,0.33985434972882034,100,17294,645,439
63,17.584943576455117,Atlantis-v0/Boxing-v0,0.0,0.8418079096045198,0.32057546458534836,171,16645,649,429
64,17.80682479037179,Alien-v0/Atlantis-v0,0.0,0.6409448818897637,0.31431998615603984,171,16645,643,436
65,18.062511676947278,Alien-v0/Boxing-v0,0.0,0.8276836158192091,0.43496320080405176,218,17877,638,438
66,18.34910834636953,Boxing-v0/Centipede-v0,0.0,0.8870056497175142,0.36605795481839626,188,18908,628,429
67,18.881776896913845,Bowling-v0/Centipede-v0,0.0,0.8294891299013595,0.1470276523421794,35,18803,635,419
68,19.22081919166777,Alien-v0/Bowling-v0,0.0,0.8202614379084968,0.33359579590486854,95,18608,660,436
69,19.461106535991032,Alien-v0/BattleZone-v0,0.0,0.35833333333333334,0.1591923007735207,197,19728,662,436
70,19.688933206796648,Asteroids-v0/BattleZone-v0,0.0,0.6452702702702703,0.13116985760334385,90,19923,666,437
71,19.91476589600245,Asteroids-v0/Centipede-v0,0.0,0.6890304551698005,0.2610962860595554,240,19592,667,441
72,20.245524644123183,Boxing-v0/Centipede-v0,0.0,0.8526912181303116,0.4578652353475829,225,20411,657,435
73,20.57409116751618,BankHeist-v0/Boxing-v0,0.0,0.895184135977337,0.12766761095372994,272,20603,651,437
74,20.798798886471324,Asteroids-v0/BankHeist-v0,0.0,0.5625,0.15227374491691617,272,20603,649,433
75,21.03537427239948,Asteroids-v0/Atlantis-v0,0.0,0.6389050669772859,0.2621823521555246,264,21266,647,430
76,21.271299870875147,Atlantis-v0/BankHeist-v0,0.0,0.625,0.15858396202137312,272,20603,652,439
77,21.54799987932046,BankHeist-v0/Centipede-v0,0.0,0.784874173361147,0.17788954528283374,272,20603,652,431
78,21.86650003956424,Boxing-v0/Centipede-v0,0.0,0.9156626506024096,0.4545307235408601,221,22221,655,432
79,22.178162174489763,BattleZone-v0/Boxing-v0,0.0,0.863768115942029,0.17654509990701048,23,22403,658,432
80,22.405563911067116,Alien-v0/BattleZone-v0,0.0,0.5128205128205129,0.1786718948544067,179,22680,671,435
81,22.63673844900396,Alien-v0/BankHeist-v0,0.0,0.6624203821656051,0.1137857822681016,252,23068,666,436
82,22.868148700065085,Asteroids-v0/BankHeist-v0,0.0,0.7540279269602578,0.1424243768004547,252,23068,661,434
83,23.114017604920598,Asteroids-v0/Centipede-v0,0.0,0.8802517992987349,0.33277074369556675,215,23488,668,431
84,23.395281498498388,BattleZone-v0/Centipede-v0,0.0,0.7167873654924103,0.26980607565136566,247,23783,670,444
85,23.622432838744587,Alien-v0/BattleZone-v0,0.0,0.6,0.27038222432959297,218,24082,662,434
86,23.843832408189773,Alien-v0/Centipede-v0,0.0,0.7105263157894737,0.37015169808114873,175,22499,659,436
87,24.07133564637767,Asteroids-v0/Centipede-v0,0.0,0.7211625794732062,0.35386824885117185,239,22920,667,427
88,24.509268703924285,Asteroids-v0/Bowling-v0,0.0,0.8459302325581395,0.21860264398276555,335,24498,668,437
89,24.899299931592413,Bowling-v0/Centipede-v0,0.0,0.911665949203616,0.3347960395077436,348,24913,665,438
90,25.11532479690181,Asteroids-v0/Centipede-v0,0.0,0.7914980628497632,0.3774332881256538,239,22920,659,441
91,25.30498565269841,Alien-v0/Asteroids-v0,0.0,0.7142857142857143,0.3719926298075502,283,25418,656,430
92,25.59382612446944,Alien-v0/Boxing-v0,0.0,0.893854748603352,0.46397757232034054,232,25776,670,432
93,25.86098034613662,Asteroids-v0/Boxing-v0,0.0,0.8148148148148148,0.38352389032364126,226,24225,670,437
94,26.11671391043398,Asteroids-v0/Centipede-v0,0.0,0.7228649200408302,0.372184475040905,239,22920,663,431
95,26.40291303667757,BankHeist-v0/Centipede-v0,0.0,0.6218728369425491,0.17328586049565678,302,26473,655,422
96,26.920364120337698,BankHeist-v0/Bowling-v0,0.0,0.6914285714285714,0.08068381855111706,267,26774,660,426
97,27.36112293687132,Bowling-v0/Boxing-v0,0.0,0.8114285714285714,0.377177026656983,301,27344,664,420
98,27.648552262253233,Atlantis-v0/Boxing-v0,0.0,0.9497041420118343,0.3568493844024576,300,26473,680,436
99,28.09776177459293,Atlantis-v0/Bowling-v0,0.0,0.8386075949367089,0.18841858910116974,307,27951,678,435
100,28.462844773398505,BankHeist-v0/Bowling-v0,0.0,0.8702531645569621,0.12640040739124112,293,28400,678,430
101,28.812240239580472,Asteroids-v0/BankHeist-v0,0.0,0.7444237918215614,0.18603913770920338,300,26473,663,437
102,29.133948548899756,Asteroids-v0/Bowling-v0,0.0,0.7840593141797961,0.32492778595870114,294,28237,671,428
103,29.491244292987716,Bowling-v0/Centipede-v0,0.0,0.9667677850512053,0.3970891372697175,348,24913,674,432
104,29.828205159770118,Boxing-v0/Centipede-v0,0.0,0.8242424242424243,0.47470732066282656,293,26780,676,427
105,30.09069872180621,Asteroids-v0/Boxing-v0,0.0,0.8051575931232092,0.4133341172224622,242,26308,685,434
106,30.33693258649773,Asteroids-v0/Centipede-v0,0.0,0.7521514629948365,0.32536774712711647,217,30064,684,436
107,30.608372940089968,Atlantis-v0/Centipede-v0,0.0,0.7137696429646577,0.31037970143511434,315,30093,679,434
108,30.82070953892337,Asteroids-v0/Atlantis-v0,0.0,0.7580174927113703,0.30253042860217333,311,29686,677,439
109,31.051291001968913,Asteroids-v0/Centipede-v0,0.0,0.7520447696943607,0.33866666930062517,217,30064,662,429
110,31.461661302513548,Bowling-v0/Centipede-v0,0.0,0.856687898089172,0.3459983172929043,216,31036,662,431
111,31.820925678014756,Atlantis-v0/Bowling-v0,0.0,0.8830923947203017,0.29528579231175484,255,31053,647,424
112,32.08215156296889,Atlantis-v0/BattleZone-v0,0.0,0.7985303123086344,0.2837588549710438,298,31345,654,423
113,32.44504278884994,BattleZone-v0/Bowling-v0,0.0,0.8184713375796179,0.2703023788536734,292,30073,666,426
114,32.740397482845516,Alien-v0/Bowling-v0,0.0,0.7770700636942675,0.36278759606471106,293,32155,676,424
115,32.98223263488875,Alien-v0/Centipede-v0,0.0,0.68,0.38027303913694327,289,31174,679,425
116,33.255287370615534,BankHeist-v0/Centipede-v0,0.0,0.6888221411714225,0.18242583010462282,300,32292,684,431
117,33.548031031688055,BankHeist-v0/BattleZone-v0,0.0,0.4117647058823529,0.14335432548889632,302,32364,685,430
118,33.777051349017356,Asteroids-v0/BattleZone-v0,0.0,0.5263157894736842,0.21205461700663028,223,33219,686,434
119,34.03023133165306,Asteroids-v0/Centipede-v0,0.0,0.6692794226068061,0.2995526354714088,302,33207,680,430
120,34.30472308052911,BankHeist-v0/Centipede-v0,0.0,0.6234537934248596,0.16724598342172842,216,32534,680,434
121,34.53168016148938,Asteroids-v0/BankHeist-v0,0.0,0.6923076923076923,0.13589493138932182,301,34240,675,431
122,34.76537271281084,Asteroids-v0/Centipede-v0,0.0,0.7821428571428571,0.3655640605440495,291,33231,671,430
123,35.04146626883083,Atlantis-v0/Centipede-v0,0.0,0.7692307692307693,0.32188026019472016,277,34263,675,420
124,35.31085574759378,Atlantis-v0/BattleZone-v0,0.0,0.7428571428571429,0.29220556709035983,303,35091,699,429
125,35.540150677760444,Asteroids-v0/BattleZone-v0,0.0,0.6465454545454546,0.27254515181787947,305,32069,704,437
126,35.737027794851194,Alien-v0/Asteroids-v0,0.0,0.6993865030674846,0.3072932401559725,304,34544,701,437
127,36.03330006890827,Alien-v0/Boxing-v0,0.0,0.9159663865546218,0.4270854752873898,289,35520,697,435
128,36.37457787030273,BankHeist-v0/Boxing-v0,0.0,0.8495821727019499,0.2045972437577471,303,36128,697,434
129,36.606740441852146,Asteroids-v0/BankHeist-v0,0.0,0.6178571428571428,0.19674127715602371,303,36472,690,434
130,36.86558769557211,Asteroids-v0/Centipede-v0,0.0,0.7821428571428571,0.35691069636760675,291,33231,689,429
131,37.08598637825913,Alien-v0/Centipede-v0,0.0,0.6666666666666667,0.35019663565015735,291,33231,675,430
132,37.31544381154908,Alien-v0/BankHeist-v0,0.0,0.5575757575757576,0.16615926708949993,291,37204,674,421
133,37.64886381659243,BankHeist-v0/Boxing-v0,0.0,0.7847025495750708,0.196111899886133,291,37204,679,426
134,37.96746102081405,BattleZone-v0/Boxing-v0,0.0,0.8980169971671388,0.3569177102273699,350,37695,696,423
135,38.2457908601231,BankHeist-v0/BattleZone-v0,0.0,0.5925925925925926,0.146484546011733,291,37204,697,437
136,38.51970377233293,Atlantis-v0/BankHeist-v0,0.0,0.611111111111111,0.17236909299161216,252,36008,682,431
137,38.818910240398516,Atlantis-v0/Boxing-v0,0.0,0.8760806916426512,0.3427959860637292,326,37792,689,425
138,39.0857922440105,Alien-v0/Boxing-v0,0.0,0.8443804034582133,0.3034809447070699,289,38893,698,429
139,39.294628976848394,Alien-v0/Asteroids-v0,0.0,0.5852140077821012,0.2865566772181564,289,38893,698,431
140,39.545267418159376,Asteroids-v0/BankHeist-v0,0.0,0.6874999999999999,0.1669429654216331,305,38379,701,434
141,39.85518089367284,BankHeist-v0/Centipede-v0,0.0,0.6874999999999999,0.19580133078853634,334,39787,704,439
142,40.15718908131122,BattleZone-v0/Centipede-v0,0.0,0.6957145905678314,0.275106215956219,313,40067,702,429
143,40.61889110585054,BattleZone-v0/Bowling-v0,0.0,0.8454258675078864,0.216999964634034,331,40227,707,433
144,40.96413157741229,Asteroids-v0/Bowling-v0,0.0,0.8738170347003154,0.30034739050101134,321,40209,705,436
145,41.269020930926004,Asteroids-v0/Boxing-v0,0.0,0.8803418803418803,0.38927751670065525,253,40283,697,429
