tpgGen,hoursElapsed,envs,fitMin,fitMax,fitAvg,champSize,champUid,totalTeams,totalRootTeams
1,1.0835816809203889,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.0,0.0,6,297,471,401
2,1.858212296764056,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.0,0.0,6,664,525,449
3,2.625375710990694,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.0,0.0,6,664,531,453
4,3.3766801934772066,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.0,0.0,16,1077,531,441
5,4.079453907079166,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.047619047619047616,0.0001079796998164345,16,1077,534,446
6,4.756483929753304,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.047619047619047616,0.00010676916506512919,16,1077,517,450
7,5.455160307155715,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.047619047619047616,0.00010582010582010581,16,1077,528,432
8,6.106516433888012,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.0009046317143776134,2.0940548943926235e-06,16,1077,540,453
9,6.814953075713581,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.0009046317143776134,1.9969795019373366e-06,16,1077,529,440
10,7.423305744926135,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.0009046317143776134,2.0559811690400304e-06,16,1077,538,446
11,8.070078560908636,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.001306165099268547,5.8572425976168025e-06,16,1077,532,452
12,8.775594482819239,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.0012060543930531267,7.115365150755907e-06,16,1077,524,445
13,9.40804001390934,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.03278688524590164,8.225907855417357e-05,16,1077,525,442
14,10.043354882531697,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.09183673469387754,0.0002136856671774087,16,1077,535,448
15,10.735091997186343,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.09183673469387754,0.00021105051302904105,16,1077,527,452
16,11.361254303124216,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.09183673469387754,0.00047937714642654517,16,1077,508,447
17,11.95232881936762,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.09183673469387754,0.000482715522305192,16,1077,516,431
18,12.557849142948786,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.09183673469387754,0.0005022850771598597,16,1077,535,453
19,13.26194357295831,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.09090909090909093,0.0003591983737072459,39,4586,530,448
20,13.953897504872746,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.09090909090909093,0.0003632072841280857,29,4586,543,444
21,14.586179962356885,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.09090909090909093,0.00045492233557133105,29,4586,530,453
22,15.29168781929546,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.09090909090909093,0.000453875830691604,16,1077,527,441
23,15.893188247415754,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.09090909090909093,0.0002891446032837241,16,1077,527,444
24,16.52781867497497,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.09090909090909093,0.0002964303329835965,16,1077,539,442
25,17.20402025282383,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.06818181818181819,0.0002339635768520708,16,1077,556,448
26,17.89107919898298,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.06818181818181819,0.0003237242574187695,19,6348,556,448
27,18.589660283260876,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.06818181818181819,0.00026096271727905825,32,6538,560,454
28,19.244846720364357,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.09090909090909093,0.000412455646498873,32,6538,548,452
29,19.89177803132269,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.09090909090909093,0.0005054277775782525,32,6538,539,446
30,20.490461093783377,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.09090909090909093,0.0006644419266196574,32,6538,535,439
31,21.139233592682416,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.09090909090909093,0.0006939655697550884,32,6538,540,447
32,21.819081308046975,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.06818181818181819,0.0005105986269193908,32,6538,547,444
33,22.458602400951914,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.09090909090909093,0.001066511539334261,32,6538,547,444
34,23.084528034395642,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.09183673469387754,0.0015950823986030577,32,6538,533,438
35,23.694929599497055,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.09183673469387754,0.0017558321387428752,32,6538,526,429
36,24.311371492942175,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.0449438202247191,0.0016106266956014846,33,8686,542,432
37,24.939795035587416,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.0449438202247191,0.0019428383144895157,33,8686,553,444
38,25.538003985749352,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.06790564689063618,0.002928574488075318,33,8686,550,442
39,26.195551827086344,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.08823529411764706,0.00403487903618077,33,8686,555,438
40,26.848950412273407,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.06796116504854369,0.004729383835476593,33,8686,555,444
41,27.439289193881883,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.13636363636363638,0.006243039217975612,36,9842,546,432
42,28.020856922864915,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.13636363636363638,0.007342065922641653,36,9842,552,439
43,28.62153767400318,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.08823529411764706,0.009460221851650524,41,10257,558,432
44,29.235359861122237,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.13636363636363638,0.011760398634398284,41,10257,565,436
45,29.86431873910957,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.13636363636363638,0.011876603622844406,41,10257,559,449
46,30.461558273500867,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.13636363636363638,0.01462345073258078,41,10257,541,430
47,31.033720966908668,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.12745098039215685,0.01551611714893848,41,10257,561,436
