tpgGen,hoursElapsed,envs,fitMin,fitMax,fitAvg,champSize,champUid,totalTeams,totalRootTeams
1,0.2904194775554869,Alien-v0,0.0,1,0.14480728381315577,25,60112,1032,569
2,0.5258228082789315,Alien-v0/BattleZone-v0,0.0,0.24820143884892087,0.04284937603519991,24,164862,886,428
3,0.8613590570953157,Alien-v0/BattleZone-v0/Boxing-v0,0.0,0.24820143884892087,0.06712667249378063,21,145193,874,418
4,1.240549667543835,Alien-v0/Atlantis-v0/BattleZone-v0/Boxing-v0,0.0,0.13669064748201437,0.0015085100243228697,21,145193,883,432
5,1.8342323297924465,Atlantis-v0/BankHeist-v0/BattleZone-v0/Boxing-v0,0.0,0.06474820143884892,0.00031884842574188407,46,458,874,423
6,2.530690630806817,Atlantis-v0/BankHeist-v0/Bowling-v0/Boxing-v0,0.0,0.0254278728606357,6.011317461143191e-05,95,827,858,426
7,3.0815238035387464,Atlantis-v0/BankHeist-v0/Bowling-v0/Centipede-v0,0.0,0.0254278728606357,0.00012422739544426433,78,863,853,412
8,3.6385076675812402,BankHeist-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.11764705882352941,0.0008803242605324205,80,183397,860,423
9,4.198312801851166,BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.2805755395683453,0.0150161387462459,59,1519,869,413
10,4.601255052553283,Atlantis-v0/BattleZone-v0/Boxing-v0/Centipede-v0,0.0,0.12949640287769784,0.0026829863915777373,36,975,883,429
11,5.140502971874343,Atlantis-v0/BankHeist-v0/BattleZone-v0/Boxing-v0,0.0,0.1437125748502994,0.0009447606380734181,19,1012,879,418
12,5.6023431505097285,Alien-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0,0.0,0.06204379562043795,0.0013890515293535435,85,2069,890,426
13,5.9737787359952925,Alien-v0/Atlantis-v0/BankHeist-v0/Centipede-v0,0.0,0.20802919708029197,0.002323180700489268,150,2513,878,418
14,6.396853882537948,Alien-v0/BankHeist-v0/BattleZone-v0/Centipede-v0,0.0,0.17883211678832117,0.006005314248156297,167,2506,869,422
15,6.7292851140764025,Alien-v0/Atlantis-v0/BattleZone-v0/Centipede-v0,0.0,0.17883211678832117,0.00695257558888072,79,3050,868,409
16,7.3142422962851,Atlantis-v0/BattleZone-v0/Bowling-v0/Centipede-v0,0.0,0.1870503597122302,0.003600456628522827,79,3050,867,420
17,7.896507494515843,Atlantis-v0/BattleZone-v0/Bowling-v0/Boxing-v0,0.0,0.1870503597122302,0.008617068254083553,95,2765,865,416
18,8.389089041087363,Atlantis-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.397728232412803,0.014098460102786033,79,3050,874,414
19,8.921823865705067,BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.5906163559196773,0.03752160646565626,69,3447,883,423
20,9.314341805643506,Atlantis-v0/BattleZone-v0/Boxing-v0/Centipede-v0,0.0,0.28017905783483604,0.023179497002216505,95,4031,891,421
21,9.697333143221007,Alien-v0/Atlantis-v0/BattleZone-v0/Centipede-v0,0.0,0.2462686567164179,0.03132181560468867,95,4031,888,429
22,10.077242603898048,Alien-v0/Asteroids-v0/Atlantis-v0/BattleZone-v0,0.0,0.23507462686567163,0.018850371677113488,93,4714,880,426
23,10.606180637743737,Alien-v0/Asteroids-v0/Atlantis-v0/Bowling-v0,0.0,0.2425373134328358,0.020043711311622657,79,3050,876,422
24,11.091182282235888,Alien-v0/Asteroids-v0/BattleZone-v0/Bowling-v0,0.0,0.2504220596510974,0.033515773732386976,93,5281,884,420
25,11.616918364034758,Asteroids-v0/BattleZone-v0/Bowling-v0/Boxing-v0,0.0,0.33999999999999997,0.039347866090388914,98,5561,887,423
26,12.11909703453382,BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.33333333333333337,0.06879357572684852,91,4930,888,422
27,12.554118332134353,Atlantis-v0/BattleZone-v0/Boxing-v0/Centipede-v0,0.0,0.38256569713459,0.04670188030437581,99,6096,887,426
28,12.908708549406793,Asteroids-v0/Atlantis-v0/Boxing-v0/Centipede-v0,0.0,0.3723702664796634,0.047180335975977,134,6181,874,423
29,13.257212899592188,Asteroids-v0/Atlantis-v0/BattleZone-v0/Centipede-v0,0.0,0.33333333333333337,0.03856369341327524,99,6096,872,411
30,13.770776997009913,Asteroids-v0/Atlantis-v0/BattleZone-v0/Bowling-v0,0.0,0.35614133482894,0.04281291366413397,128,6184,882,421
31,14.251716204219393,Alien-v0/Asteroids-v0/BattleZone-v0/Bowling-v0,0.0,0.3132686084142395,0.06313889301582551,90,6490,888,413
32,14.765212941765785,Alien-v0/BattleZone-v0/Bowling-v0/Boxing-v0,0.0,0.30593607305936077,0.10424441257304702,91,6789,898,425
33,15.222358232604133,Alien-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.36529680365296807,0.11580880298044287,79,7353,896,424
34,15.579226856562826,Alien-v0/Asteroids-v0/Boxing-v0/Centipede-v0,0.0,0.3497757847533632,0.06954566324540536,16,6833,893,425
35,16.023423265020053,Asteroids-v0/BankHeist-v0/Boxing-v0/Centipede-v0,0.0,0.2813474734872115,0.014045587006168989,183,8026,892,422
36,16.455453070004783,Asteroids-v0/BankHeist-v0/BattleZone-v0/Centipede-v0,0.0,0.2505681818181818,0.020194012476098366,301,8145,882,417
37,16.849994407097498,Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0,0.0,0.2857142857142857,0.020147826557028955,183,8026,876,422
38,17.28399522152212,Atlantis-v0/BankHeist-v0/BattleZone-v0/Centipede-v0,0.0,0.3516483516483516,0.027026182636445496,233,8754,887,415
39,17.6649483136336,Alien-v0/Atlantis-v0/BattleZone-v0/Centipede-v0,0.0,0.43275862068965515,0.06889751104674219,277,8508,896,426
40,18.07219235473209,Alien-v0/Atlantis-v0/Boxing-v0/Centipede-v0,0.0,0.4936708860759494,0.12110596125302459,225,8282,885,424
41,18.504938731325996,Alien-v0/BattleZone-v0/Boxing-v0/Centipede-v0,0.0,0.4269944481648701,0.10177236161535942,146,8123,870,418
42,18.91922975189156,Alien-v0/Asteroids-v0/BattleZone-v0/Boxing-v0,0.0,0.3786407766990291,0.07195650957733597,123,9693,882,413
43,19.369682842095692,Asteroids-v0/Atlantis-v0/BattleZone-v0/Boxing-v0,0.0,0.4679334916864607,0.07159949496841103,89,9253,891,425
44,19.77308240711689,Asteroids-v0/Atlantis-v0/BattleZone-v0/Centipede-v0,0.0,0.29121725731895226,0.05025440395462744,225,8282,885,423
45,20.129894683029917,Asteroids-v0/Atlantis-v0/BankHeist-v0/Centipede-v0,0.0,0.26605033384694404,0.02078890864942564,84,8746,885,421
46,20.57208138015535,Atlantis-v0/BankHeist-v0/Boxing-v0/Centipede-v0,0.0,0.4285313053623126,0.03397245187959057,225,8282,881,418
47,20.966280202402007,Asteroids-v0/BankHeist-v0/Boxing-v0/Centipede-v0,0.0,0.32839665164198323,0.037309399657365815,224,10476,881,419
48,21.357575275301933,Asteroids-v0/Atlantis-v0/BankHeist-v0/Boxing-v0,0.0,0.2982153137593552,0.0389371501809527,88,9690,888,418
49,21.78699439353413,Asteroids-v0/Atlantis-v0/BattleZone-v0/Boxing-v0,0.0,0.5563218390804598,0.0711661203183487,119,8540,887,419
50,22.17627884646257,Asteroids-v0/Atlantis-v0/BattleZone-v0/Centipede-v0,0.0,0.31145833333333334,0.06931741420745242,119,8540,894,416
51,22.77750560833348,Atlantis-v0/BattleZone-v0/Boxing-v0/Centipede-v0,0.0,0.43902439024390244,0.1013265965384048,233,11056,895,424
52,23.2268133068747,Alien-v0/BattleZone-v0/Boxing-v0/Centipede-v0,0.0,0.45161290322580644,0.11366671146099033,184,11725,898,418
53,23.626690070496664,Alien-v0/Atlantis-v0/Boxing-v0/Centipede-v0,0.0,0.5403225806451614,0.16023974699895802,225,8282,896,421
54,24.23668562968572,Alien-v0/Atlantis-v0/Bowling-v0/Boxing-v0,0.0,0.620967741935484,0.15456357136278162,90,12043,902,425
55,24.720996277266078,Alien-v0/Asteroids-v0/Atlantis-v0/Bowling-v0,0.0,0.4361598440545809,0.09742575254927346,123,12581,904,425
56,25.262606758475304,Asteroids-v0/Atlantis-v0/BattleZone-v0/Bowling-v0,0.0,0.553763440860215,0.11108816857125188,93,12508,912,428
57,25.77115417573187,Alien-v0/Asteroids-v0/BattleZone-v0/Bowling-v0,0.0,0.5707070707070707,0.14019526741640087,108,13164,907,426
58,26.27193199555079,Alien-v0/Asteroids-v0/BankHeist-v0/BattleZone-v0,0.0,0.25116279069767444,0.031333983197037014,108,13164,905,419
59,26.764716010954643,Alien-v0/BankHeist-v0/BattleZone-v0/Centipede-v0,0.0,0.33333333333333337,0.05392963411932084,170,9191,914,429
60,27.319120058880912,Alien-v0/BankHeist-v0/Bowling-v0/Centipede-v0,0.0,0.3674418604651163,0.06285721374558383,180,14136,913,429
61,27.81470516708162,Asteroids-v0/BankHeist-v0/Bowling-v0/Centipede-v0,0.0,0.2978723404255319,0.05599231942084666,355,14316,892,423
62,28.289756007525657,Asteroids-v0/BattleZone-v0/Bowling-v0/Centipede-v0,0.0,0.3893348623853211,0.10647639582471526,223,14640,887,420
63,28.725912433531548,Alien-v0/Asteroids-v0/BattleZone-v0/Bowling-v0,0.0,0.38666666666666666,0.12039726629863182,220,14640,878,419
64,29.185669653548135,Alien-v0/Asteroids-v0/BankHeist-v0/BattleZone-v0,0.0,0.25531914893617025,0.05468560297693087,226,14975,882,415
65,29.696947994761995,Alien-v0/BankHeist-v0/BattleZone-v0/Bowling-v0,0.0,0.2995391705069124,0.06309192775233305,180,14356,888,426
66,30.261139256093237,Alien-v0/BankHeist-v0/Bowling-v0/Boxing-v0,0.0,0.33640552995391704,0.08591736364471328,180,14356,892,421
67,30.898177508181995,BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0,0.0,0.7481108312342569,0.08608528154334771,99,15867,901,429
68,31.45983241505093,BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.649874055415617,0.1579997114338105,188,15400,898,424
69,31.91605320023166,Alien-v0/BattleZone-v0/Boxing-v0/Centipede-v0,0.0,0.5689655172413793,0.18630274414060463,188,15400,894,425
70,32.32334813740518,Alien-v0/Asteroids-v0/BattleZone-v0/Centipede-v0,0.0,0.44155844155844154,0.11167458868932899,294,16551,891,420
71,32.75250364641349,Alien-v0/Asteroids-v0/Bowling-v0/Centipede-v0,0.0,0.5479651162790697,0.1462297995699202,268,16509,897,420
72,33.216169543332526,Alien-v0/Asteroids-v0/Bowling-v0/Boxing-v0,0.0,0.6379310344827586,0.17375621470955582,92,15785,894,420
