tpgGen,hoursElapsed,envs,fitMin,fitMax,fitAvg,champSize,champUid,totalTeams,totalRootTeams
1,4.596202590664228,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.032130281690140844,1.834967543697364e-05,87,204367,1355,880
2,5.034588584105173,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.030850594975760245,3.505749429063664e-05,87,204367,884,439
3,5.173470913701587,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.030850594975760245,7.027470381722152e-05,87,204367,867,420
4,5.933477622800403,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.030850594975760245,7.345379756133391e-05,87,204367,875,430
5,6.701730502181583,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.030850594975760245,7.174556971107034e-05,87,204367,869,425
6,7.4659513476822115,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.030850594975760245,0.0001088844528556244,80,185138,869,427
7,8.205971991022428,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.030850594975760245,0.00010837445541836151,87,204367,876,425
8,8.991650637984275,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.030850594975760245,0.0001088844528556244,87,204367,868,428
9,9.753321818775602,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.030850594975760245,0.0001081212440739261,87,204367,852,421
10,10.500410978131825,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.030850594975760245,0.00010991898447420515,87,204367,856,417
11,11.246563234527907,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.030850594975760245,0.00013054708831819652,87,204367,861,422
12,11.97443801369932,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.030850594975760245,0.0001665975263079054,87,204367,855,421
13,12.690734066896969,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.030850594975760245,0.000186666499874012,87,204367,859,425
14,13.422351565957069,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.030850594975760245,0.00020411491720472147,87,204367,861,421
15,14.151916850076782,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.030850594975760245,0.0002739082886899593,87,204367,867,426
16,14.901605852643648,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.029567519858781994,0.0002581299814942567,87,204367,867,431
17,15.676995366149479,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.030850594975760245,0.00016181725368118947,87,204367,855,426
18,16.42128891825676,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.030850594975760245,0.00027337993329953295,87,204367,854,420
19,17.16909302181668,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.029567519858781994,0.000310281612354347,87,204367,852,429
20,17.913809121516017,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.029567519858781994,0.00032042222454937736,87,204367,849,417
21,18.655690581202506,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.030850594975760245,0.0003483088088392702,87,204367,852,420
22,19.40097310119205,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.030850594975760245,0.00034782219004776796,87,204367,861,420
